  In (0,2), the ground is expected to be light grey, but it is white.
  In (9,11), the ground is expected to be white, but it is light grey.
  In (9,12), the ground is expected to be white, but it is light grey.
  In (9,13), the ground is expected to be light grey, but it is white.
  In (9,16), the ground is expected to be white, but it is light grey.
  In (9,18), the ground is expected to be white, but it is light grey.
  In (10,1), the ground is expected to be light grey, but it is white.
  In (10,5), the ground is expected to be light grey, but it is white.
  In (10,9), the ground is expected to be white, but it is light grey.
  In (10,10), the ground is expected to be white, but it is light grey.
  In (10,11), the ground is expected to be white, but it is light grey.
  In (10,12), the ground is expected to be light grey, but it is white.
  In (10,13), the ground is expected to be white, but it is light grey.
  In (10,17), the ground is expected to be white, but it is light grey.
  In (11,0), the ground is expected to be light grey, but it is white.
  In (11,6), the ground is expected to be light grey, but it is white.
  In (11,8), the ground is expected to be white, but it is light grey.
  In (11,9), the ground is expected to be white, but it is light grey.
  In (11,10), the ground is expected to be white, but it is light grey.
  In (11,11), the ground is expected to be white, but it is light grey.
  In (11,12), the ground is expected to be white, but it is light grey.
  In (11,13), the ground is expected to be light grey, but it is white.
  In (11,16), the ground is expected to be white, but it is light grey.
  In (11,18), the ground is expected to be white, but it is light grey.
  In (12,3), the ground is expected to be light grey, but it is white.
  In (12,8), the ground is expected to be white, but it is light grey.
  In (12,9), the ground is expected to be white, but it is light grey.
  In (12,11), the ground is expected to be white, but it is light grey.
  In (12,13), the ground is expected to be white, but it is light grey.
  In (12,15), the ground is expected to be white, but it is light grey.
  In (12,19), the ground is expected to be white, but it is light grey.
  In (13,2), the ground is expected to be light grey, but it is white.
  In (13,4), the ground is expected to be light grey, but it is white.
  In (13,7), the ground is expected to be white, but it is light grey.
  In (13,16), the ground is expected to be light grey, but it is white.
  In (13,18), the ground is expected to be light grey, but it is white.
  In (14,2), the ground is expected to be light grey, but it is white.
  In (14,4), the ground is expected to be light grey, but it is white.
  In (14,8), the ground is expected to be white, but it is light grey.
  In (14,9), the ground is expected to be light grey, but it is white.
  In (14,10), the ground is expected to be white, but it is light grey.
  In (14,11), the ground is expected to be light grey, but it is white.
  In (14,16), the ground is expected to be light grey, but it is white.
  In (14,18), the ground is expected to be light grey, but it is white.
  In (15,3), the ground is expected to be light grey, but it is white.
  In (15,7), the ground is expected to be white, but it is light grey.
  In (15,9), the ground is expected to be white, but it is light grey.
  In (15,10), the ground is expected to be light grey, but it is white.
  In (15,11), the ground is expected to be white, but it is light grey.
  In (15,17), the ground is expected to be light grey, but it is white.
  In (16,0), the ground is expected to be light grey, but it is white.
  In (16,6), the ground is expected to be light grey, but it is white.
  In (16,7), the ground is expected to be light grey, but it is white.
  In (16,8), the ground is expected to be white, but it is light grey.
  In (16,10), the ground is expected to be white, but it is light grey.
  In (16,13), the ground is expected to be light grey, but it is white.
  In (16,14), the ground is expected to be light grey, but it is white.
  In (16,20), the ground is expected to be light grey, but it is white.
  In (17,1), the ground is expected to be light grey, but it is white.
  In (17,5), the ground is expected to be light grey, but it is white.
  In (17,7), the ground is expected to be white, but it is light grey.
  In (17,9), the ground is expected to be white, but it is light grey.
  In (17,10), the ground is expected to be white, but it is light grey.
  In (17,11), the ground is expected to be white, but it is light grey.
  In (17,14), the ground is expected to be white, but it is light grey.
  In (17,15), the ground is expected to be light grey, but it is white.
  In (17,16), the ground is expected to be white, but it is light grey.
  In (17,18), the ground is expected to be white, but it is light grey.
  In (17,19), the ground is expected to be light grey, but it is white.
  In (18,0), the ground is expected to be light grey, but it is white.
  In (18,6), the ground is expected to be light grey, but it is white.
  In (18,8), the ground is expected to be white, but it is light grey.
  In (18,9), the ground is expected to be white, but it is light grey.
  In (18,10), the ground is expected to be white, but it is light grey.
  In (18,11), the ground is expected to be white, but it is light grey.
  In (18,14), the ground is expected to be light grey, but it is white.
  In (18,15), the ground is expected to be white, but it is light grey.
  In (18,17), the ground is expected to be white, but it is light grey.
  In (18,19), the ground is expected to be white, but it is light grey.
  In (18,20), the ground is expected to be light grey, but it is white.
  In (19,3), the ground is expected to be light grey, but it is white.
  In (19,7), the ground is expected to be white, but it is light grey.
  In (19,8), the ground is expected to be white, but it is light grey.
  In (19,9), the ground is expected to be white, but it is light grey.
  In (19,11), the ground is expected to be white, but it is light grey.
  In (19,12), the ground is expected to be white, but it is light grey.
  In (19,14), the ground is expected to be white, but it is light grey.
  In (19,16), the ground is expected to be white, but it is light grey.
  In (19,17), the ground is expected to be light grey, but it is white.
  In (19,18), the ground is expected to be white, but it is light grey.
  In (20,2), the ground is expected to be light grey, but it is white.
  In (20,4), the ground is expected to be light grey, but it is white.
  In (20,7), the ground is expected to be white, but it is light grey.
  In (20,8), the ground is expected to be white, but it is light grey.
  In (20,10), the ground is expected to be white, but it is light grey.
  In (20,13), the ground is expected to be white, but it is light grey.
  In (20,15), the ground is expected to be white, but it is light grey.
  In (20,16), the ground is expected to be light grey, but it is white.
  In (20,17), the ground is expected to be white, but it is light grey.
  In (20,18), the ground is expected to be light grey, but it is white.
  In (20,19), the ground is expected to be white, but it is light grey.
  Something is wrong about buggle 'Picasso':
    Its position is (8,20); expected: (0,20).

