The turtle Hawksbill is at the right location.  There is 378 shapes, but only 10 shapes were expected
Superflous shapes in your solution:
   Line (x0,000 y269,181 / x1,047 y268,576 / black) 
   Line (x36,744 y297,592 / x41,088 y300,000 / black) 
   Line (x36,962 y108,243 / x70,962 y108,243 / black) 
   Line (x37,243 y250,158 / x45,008 y246,700 / black) 
   Line (x37,432 y87,364 / x69,902 y82,221 / black) 
   Line (x39,516 y231,751 / x53,691 y209,066 / black) 
   Line (x39,709 y204,480 / x51,892 y205,760 / black) 
   Line (x41,088 y0,000 / x49,973 y4,925 / black) 
   Line (x41,515 y143,903 / x52,039 y186,111 / black) 
   Line (x43,176 y190,400 / x76,656 y206,729 / black) 
   Line (x45,008 y246,700 / x52,948 y243,330 / black) 
   Line (x46,090 y270,242 / x56,817 y285,007 / black) 
   Line (x49,481 y14,296 / x84,028 y24,858 / black) 
   Line (x49,973 y4,925 / x63,179 y12,550 / black) 
   Line (x50,883 y268,557 / x72,248 y249,320 / black) 
   Line (x51,276 y12,201 / x81,178 y1,905 / black) 
   Line (x51,353 y14,902 / x82,788 y36,913 / black) 
   Line (x51,892 y205,760 / x64,175 y207,268 / black) 
   Line (x52,039 y186,111 / x63,265 y228,008 / black) 
   Line (x52,948 y243,330 / x61,061 y240,053 / black) 
   Line (x53,526 y282,128 / x65,132 y300,000 / black) 
   Line (x53,691 y209,066 / x67,404 y186,244 / black) 
   Line (x54,809 y61,393 / x82,828 y89,412 / black) 
   Line (x56,817 y285,007 / x67,315 y300,000 / black) 
   Line (x61,061 y240,053 / x69,346 y236,872 / black) 
   Line (x61,542 y86,475 / x96,202 y91,346 / black) 
   Line (x62,418 y173,934 / x88,616 y158,809 / black) 
   Line (x63,179 y12,550 / x76,358 y20,468 / black) 
   Line (x63,265 y228,008 / x75,187 y269,583 / black) 
   Line (x64,175 y207,268 / x76,553 y209,008 / black) 
   Line (x65,132 y0,000 / x75,924 y16,618 / black) 
   Line (x67,315 y0,000 / x67,356 y0,059 / black) 
   Line (x67,356 y0,059 / x77,701 y15,396 / black) 
   Line (x67,404 y186,244 / x80,654 y163,294 / black) 
   Line (x69,346 y236,872 / x77,803 y233,794 / black) 
   Line (x69,902 y82,221 / x102,154 y76,534 / black) 
   Line (x70,962 y108,243 / x104,832 y107,652 / black) 
   Line (x72,248 y249,320 / x93,183 y229,797 / black) 
   Line (x75,187 y269,583 / x84,486 y300,000 / black) 
   Line (x75,924 y16,618 / x98,851 y50,608 / black) 
   Line (x76,358 y20,468 / x89,503 y28,682 / black) 
   Line (x76,553 y209,008 / x89,023 y210,983 / black) 
   Line (x76,656 y206,729 / x110,302 y222,419 / black) 
   Line (x77,701 y15,396 / x87,845 y31,016 / black) 
   Line (x77,803 y233,794 / x86,431 y230,823 / black) 
   Line (x80,654 y163,294 / x93,441 y140,226 / black) 
   Line (x81,178 y1,905 / x86,412 y0,000 / black) 
   Line (x82,788 y36,913 / x114,498 y58,302 / black) 
   Line (x82,828 y89,412 / x111,242 y116,851 / black) 
   Line (x84,028 y24,858 / x118,633 y34,781 / black) 
   Line (x84,486 y0,000 / x87,795 y10,823 / black) 
   Line (x86,412 y300,000 / x110,778 y291,131 / black) 
   Line (x86,431 y230,823 / x95,228 y227,965 / black) 
   Line (x87,795 y10,823 / x101,083 y51,719 / black) 
   Line (x87,845 y31,016 / x97,781 y46,917 / black) 
   Line (x88,616 y158,809 / x114,438 y143,294 / black) 
   Line (x89,023 y210,983 / x101,579 y213,197 / black) 
   Line (x89,503 y28,682 / x102,607 y37,192 / black) 
   Line (x93,183 y229,797 / x113,685 y210,000 / black) 
   Line (x93,441 y140,226 / x105,764 y117,049 / black) 
   Line (x95,228 y227,965 / x104,194 y225,224 / black) 
   Line (x96,202 y91,346 / x130,817 y95,597 / black) 
   Line (x97,781 y46,917 / x107,503 y63,096 / black) 
   Line (x98,851 y50,608 / x122,296 y84,091 / black) 
   Line (x101,083 y51,719 / x115,042 y92,258 / black) 
   Line (x101,579 y213,197 / x114,218 y215,654 / black) 
   Line (x102,154 y76,534 / x134,180 y70,309 / black) 
   Line (x102,607 y37,192 / x115,665 y45,999 / black) 
   Line (x104,194 y225,224 / x113,326 y222,605 / black) 
   Line (x104,832 y107,652 / x138,562 y106,474 / black) 
   Line (x105,764 y117,049 / x117,625 y93,771 / black) 
   Line (x107,503 y63,096 / x117,003 y79,551 / black) 
   Line (x110,302 y222,419 / x144,104 y237,468 / black) 
   Line (x110,778 y291,131 / x140,070 y279,888 / black) 
   Line (x111,242 y116,851 / x140,039 y143,705 / black) 
   Line (x113,326 y222,605 / x122,623 y220,114 / black) 
   Line (x113,685 y210,000 / x133,749 y189,936 / black) 
   Line (x114,218 y215,654 / x126,933 y218,357 / black) 
   Line (x114,438 y143,294 / x139,879 y127,396 / black) 
   Line (x114,498 y58,302 / x146,473 y79,066 / black) 
   Line (x115,042 y92,258 / x129,663 y132,430 / black) 
   Line (x115,665 y45,999 / x128,669 y55,105 / black) 
   Line (x117,003 y79,551 / x126,275 y96,278 / black) 
   Line (x117,625 y93,771 / x129,023 y70,403 / black) 
   Line (x118,633 y34,781 / x153,286 y44,066 / black) 
   Line (x122,296 y84,091 / x146,248 y117,059 / black) 
   Line (x122,623 y220,114 / x132,083 y217,755 / black) 
   Line (x126,275 y96,278 / x135,312 y113,274 / black) 
   Line (x126,933 y218,357 / x139,722 y221,309 / black) 
   Line (x128,669 y55,105 / x141,613 y64,509 / black) 
   Line (x129,023 y70,403 / x139,958 y46,952 / black) 
   Line (x129,663 y132,430 / x144,938 y172,224 / black) 
   Line (x130,817 y95,597 / x165,376 y99,229 / black) 
   Line (x132,083 y217,755 / x141,705 y215,534 / black) 
   Line (x133,749 y189,936 / x153,373 y169,614 / black) 
   Line (x134,180 y70,309 / x165,970 y63,552 / black) 
   Line (x135,312 y113,274 / x144,108 y130,538 / black) 
   Line (x138,562 y106,474 / x172,141 y104,714 / black) 
   Line (x139,722 y221,309 / x152,578 y224,514 / black) 
   Line (x139,879 y127,396 / x164,935 y111,125 / black) 
   Line (x139,958 y46,952 / x150,431 y23,428 / black) 
   Line (x140,039 y143,705 / x169,208 y169,968 / black) 
   Line (x140,070 y279,888 / x169,044 y268,181 / black) 
   Line (x141,613 y64,509 / x154,491 y74,214 / black) 
   Line (x141,705 y215,534 / x151,487 y213,455 / black) 
   Line (x144,104 y237,468 / x178,047 y251,876 / black) 
   Line (x144,108 y130,538 / x152,656 y148,064 / black) 
   Line (x144,938 y172,224 / x160,859 y211,629 / black) 
   Line (x146,248 y117,059 / x170,697 y149,503 / black) 
   Line (x146,473 y79,066 / x178,699 y99,203 / black) 
   Line (x150,007 y149,375 / x150,000 y150,000 / black) 
   Line (x150,024 y148,875 / x151,076 y140,447 / black) 
   Line (x150,431 y23,428 / x160,376 y0,000 / black) 
   Line (x151,076 y140,447 / x152,172 y135,313 / black) 
   Line (x151,487 y213,455 / x161,426 y211,523 / black) 
   Line (x152,172 y135,313 / x153,206 y131,320 / black) 
   Line (x152,578 y224,514 / x165,498 y227,976 / black) 
   Line (x152,656 y148,064 / x160,950 y165,850 / black) 
   Line (x153,206 y131,320 / x154,521 y126,886 / black) 
   Line (x153,286 y44,066 / x187,974 y52,715 / black) 
   Line (x153,373 y169,614 / x172,554 y149,045 / black) 
   Line (x154,491 y74,214 / x167,296 y84,218 / black) 
   Line (x154,521 y126,886 / x156,148 y122,026 / black) 
   Line (x156,148 y122,026 / x157,088 y119,442 / black) 
   Line (x157,088 y119,442 / x158,119 y116,758 / black) 
   Line (x158,119 y116,758 / x159,242 y113,977 / black) 
   Line (x159,242 y113,977 / x160,463 y111,100 / black) 
   Line (x160,376 y300,000 / x160,444 y299,840 / black) 
   Line (x160,444 y299,840 / x169,996 y276,197 / black) 
   Line (x160,463 y111,100 / x161,785 y108,131 / black) 
   Line (x160,859 y211,629 / x177,416 y250,635 / black) 
   Line (x160,950 y165,850 / x168,983 y183,893 / black) 
   Line (x161,426 y211,523 / x171,520 y209,743 / black) 
   Line (x161,785 y108,131 / x163,212 y105,072 / black) 
   Line (x163,212 y105,072 / x164,746 y101,926 / black) 
   Line (x164,746 y101,926 / x166,392 y98,697 / black) 
   Line (x164,935 y111,125 / x189,598 y94,489 / black) 
   Line (x165,376 y99,229 / x199,870 y102,247 / black) 
   Line (x165,498 y227,976 / x178,475 y231,697 / black) 
   Line (x165,970 y63,552 / x197,515 y56,269 / black) 
   Line (x166,392 y98,697 / x168,152 y95,386 / black) 
   Line (x167,296 y84,218 / x180,022 y94,523 / black) 
   Line (x168,152 y95,386 / x170,031 y91,996 / black) 
   Line (x168,983 y183,893 / x176,749 y202,188 / black) 
   Line (x169,044 y268,181 / x197,695 y256,020 / black) 
   Line (x169,208 y169,968 / x198,736 y195,637 / black) 
   Line (x169,996 y276,197 / x179,090 y252,508 / black) 
   Line (x170,031 y91,996 / x172,031 y88,532 / black) 
   Line (x170,697 y149,503 / x195,631 y181,418 / black) 
   Line (x171,520 y209,743 / x181,767 y208,120 / black) 
   Line (x172,031 y88,532 / x174,155 y84,996 / black) 
   Line (x172,141 y104,714 / x205,559 y102,378 / black) 
   Line (x172,554 y149,045 / x191,290 y128,237 / black) 
   Line (x174,155 y84,996 / x176,408 y81,392 / black) 
   Line (x176,408 y81,392 / x178,790 y77,723 / black) 
   Line (x176,749 y202,188 / x184,241 y220,732 / black) 
   Line (x177,416 y250,635 / x194,601 y289,233 / black) 
   Line (x178,047 y251,876 / x212,121 y265,643 / black) 
   Line (x178,475 y231,697 / x191,504 y235,681 / black) 
   Line (x178,699 y99,203 / x211,164 y118,710 / black) 
   Line (x178,790 y77,723 / x181,307 y73,992 / black) 
   Line (x179,090 y252,508 / x187,726 y228,780 / black) 
   Line (x180,022 y94,523 / x192,662 y105,129 / black) 
   Line (x181,307 y73,992 / x183,959 y70,204 / black) 
   Line (x181,767 y208,120 / x192,165 y206,659 / black) 
   Line (x183,959 y70,204 / x186,751 y66,361 / black) 
   Line (x184,241 y220,732 / x191,453 y239,520 / black) 
   Line (x186,751 y66,361 / x189,685 y62,468 / black) 
   Line (x187,726 y228,780 / x195,906 y205,024 / black) 
   Line (x187,974 y52,715 / x222,686 y60,729 / black) 
   Line (x189,598 y94,489 / x213,866 y77,497 / black) 
   Line (x189,685 y62,468 / x192,764 y58,528 / black) 
   Line (x191,290 y128,237 / x209,577 y107,199 / black) 
   Line (x191,453 y239,520 / x198,379 y258,549 / black) 
   Line (x191,504 y235,681 / x204,581 y239,930 / black) 
   Line (x192,165 y206,659 / x202,711 y205,364 / black) 
   Line (x192,662 y105,129 / x205,209 y116,036 / black) 
   Line (x192,764 y58,528 / x195,989 y54,545 / black) 
   Line (x194,601 y289,233 / x199,622 y300,000 / black) 
   Line (x195,631 y181,418 / x221,040 y212,795 / black) 
   Line (x195,906 y205,024 / x203,631 y181,248 / black) 
   Line (x195,989 y54,545 / x199,364 y50,523 / black) 
   Line (x197,515 y56,269 / x228,807 y48,467 / black) 
   Line (x197,695 y256,020 / x226,015 y243,411 / black) 
   Line (x198,379 y258,549 / x205,013 y277,814 / black) 
   Line (x198,736 y195,637 / x228,611 y220,705 / black) 
   Line (x199,364 y50,523 / x202,890 y46,466 / black) 
   Line (x199,622 y0,000 / x212,404 y27,411 / black) 
   Line (x199,870 y102,247 / x234,286 y104,653 / black) 
   Line (x202,711 y205,364 / x213,402 y204,240 / black) 
   Line (x202,890 y46,466 / x206,570 y42,379 / black) 
   Line (x203,631 y181,248 / x210,904 y157,460 / black) 
   Line (x204,581 y239,930 / x217,701 y244,447 / black) 
   Line (x205,013 y277,814 / x211,347 y297,310 / black) 
   Line (x205,209 y116,036 / x217,656 y127,244 / black) 
   Line (x205,559 y102,378 / x238,807 y99,469 / black) 
   Line (x206,570 y42,379 / x210,406 y38,265 / black) 
   Line (x209,577 y107,199 / x227,415 y85,942 / black) 
   Line (x210,406 y38,265 / x214,401 y34,129 / black) 
   Line (x210,904 y157,460 / x217,726 y133,668 / black) 
   Line (x211,164 y118,710 / x243,856 y137,585 / black) 
   Line (x211,347 y297,310 / x212,170 y300,000 / black) 
   Line (x212,121 y265,643 / x246,314 y278,768 / black) 
   Line (x212,170 y0,000 / x217,378 y17,034 / black) 
   Line (x212,404 y27,411 / x230,815 y65,160 / black) 
   Line (x213,402 y204,240 / x224,235 y203,292 / black) 
   Line (x213,866 y77,497 / x237,732 y60,157 / black) 
   Line (x214,401 y34,129 / x218,555 y29,975 / black) 
   Line (x217,378 y17,034 / x223,097 y36,980 / black) 
   Line (x217,656 y127,244 / x229,998 y138,753 / black) 
   Line (x217,701 y244,447 / x230,856 y249,235 / black) 
   Line (x217,726 y133,668 / x224,099 y109,882 / black) 
   Line (x218,555 y29,975 / x222,871 y25,807 / black) 
   Line (x221,040 y212,795 / x246,912 y243,628 / black) 
   Line (x222,686 y60,729 / x257,410 y68,110 / black) 
   Line (x222,871 y25,807 / x227,350 y21,630 / black) 
   Line (x223,097 y36,980 / x228,500 y57,144 / black) 
   Line (x224,099 y109,882 / x230,027 y86,110 / black) 
   Line (x224,235 y203,292 / x235,209 y202,525 / black) 
   Line (x226,015 y243,411 / x253,997 y230,362 / black) 
   Line (x227,350 y21,630 / x231,995 y17,448 / black) 
   Line (x227,415 y85,942 / x244,800 y64,473 / black) 
   Line (x228,500 y57,144 / x233,580 y77,520 / black) 
   Line (x228,611 y220,705 / x258,823 y245,170 / black) 
   Line (x228,807 y48,467 / x259,837 y40,152 / black) 
   Line (x229,998 y138,753 / x242,227 y150,562 / black) 
   Line (x230,027 y86,110 / x235,510 y62,360 / black) 
   Line (x230,815 y65,160 / x249,826 y102,471 / black) 
   Line (x230,856 y249,235 / x244,043 y254,297 / black) 
   Line (x231,995 y17,448 / x236,806 y13,265 / black) 
   Line (x233,580 y77,520 / x238,332 y98,104 / black) 
   Line (x234,286 y104,653 / x268,613 y106,452 / black) 
   Line (x235,209 y202,525 / x246,318 y201,943 / black) 
   Line (x235,510 y62,360 / x240,552 y38,640 / black) 
   Line (x236,806 y13,265 / x241,786 y9,087 / black) 
   Line (x237,732 y60,157 / x261,192 y42,479 / black) 
   Line (x238,332 y98,104 / x242,751 y118,889 / black) 
   Line (x238,807 y99,469 / x271,875 y95,993 / black) 
   Line (x240,552 y38,640 / x245,155 y14,958 / black) 
   Line (x241,786 y9,087 / x246,934 y4,918 / black) 
   Line (x242,227 y150,562 / x254,336 y162,671 / black) 
   Line (x242,751 y118,889 / x246,829 y139,872 / black) 
   Line (x243,856 y137,585 / x276,764 y155,826 / black) 
   Line (x244,043 y254,297 / x257,255 y259,635 / black) 
   Line (x244,800 y64,473 / x261,730 y42,803 / black) 
   Line (x245,155 y14,958 / x247,792 y0,000 / black) 
   Line (x246,314 y278,768 / x280,612 y291,252 / black) 
   Line (x246,318 y201,943 / x257,562 y201,550 / black) 
   Line (x246,829 y139,872 / x250,563 y161,045 / black) 
   Line (x246,912 y243,628 / x273,236 y273,911 / black) 
   Line (x246,934 y4,918 / x252,253 y0,762 / black) 
   Line (x247,792 y300,000 / x249,322 y291,323 / black) 
   Line (x249,322 y291,323 / x253,057 y267,742 / black) 
   Line (x249,826 y102,471 / x269,427 y139,334 / black) 
   Line (x250,563 y161,045 / x253,945 y182,404 / black) 
   Line (x252,253 y0,762 / x253,265 y0,000 / black) 
   Line (x253,057 y267,742 / x256,363 y244,223 / black) 
   Line (x253,265 y300,000 / x257,744 y296,625 / black) 
   Line (x253,945 y182,404 / x256,972 y203,942 / black) 
   Line (x253,997 y230,362 / x281,635 y216,883 / black) 
   Line (x254,336 y162,671 / x266,319 y175,080 / black) 
   Line (x256,363 y244,223 / x259,242 y220,774 / black) 
   Line (x256,972 y203,942 / x259,638 y225,654 / black) 
   Line (x257,255 y259,635 / x270,488 y265,252 / black) 
   Line (x257,410 y68,110 / x292,135 y74,860 / black) 
   Line (x257,562 y201,550 / x268,935 y201,351 / black) 
   Line (x257,744 y296,625 / x263,407 y292,510 / black) 
   Line (x258,823 y245,170 / x289,358 y269,027 / black) 
   Line (x259,242 y220,774 / x261,698 y197,403 / black) 
   Line (x259,638 y225,654 / x261,938 y247,534 / black) 
   Line (x259,837 y40,152 / x290,598 y31,332 / black) 
   Line (x261,192 y42,479 / x284,241 y24,471 / black) 
   Line (x261,698 y197,403 / x263,735 y174,117 / black) 
   Line (x261,730 y42,803 / x278,205 y20,940 / black) 
   Line (x261,938 y247,534 / x263,866 y269,574 / black) 
   Line (x263,407 y292,510 / x269,243 y288,423 / black) 
   Line (x263,735 y174,117 / x265,357 y150,923 / black) 
   Line (x263,866 y269,574 / x265,418 y291,770 / black) 
   Line (x265,357 y150,923 / x266,568 y127,830 / black) 
   Line (x265,418 y291,770 / x265,850 y300,000 / black) 
   Line (x265,850 y0,000 / x267,375 y36,601 / black) 
   Line (x266,319 y175,080 / x278,169 y187,787 / black) 
   Line (x266,568 y127,830 / x267,769 y81,972 / black) 
   Line (x267,375 y36,601 / x267,769 y81,972 / black) 
   Line (x268,613 y106,452 / x300,000 y107,548 / black) 
   Line (x268,935 y201,351 / x280,435 y201,351 / black) 
   Line (x269,243 y288,423 / x275,254 y284,369 / black) 
   Line (x269,427 y139,334 / x289,607 y175,740 / black) 
   Line (x270,488 y265,252 / x283,734 y271,150 / black) 
   Line (x271,755 y172,500 / x272,543 y217,618 / black) 
   Line (x271,875 y95,993 / x300,000 y92,540 / black) 
   Line (x272,543 y217,618 / x274,113 y262,591 / black) 
   Line (x273,236 y273,911 / x296,727 y300,000 / black) 
   Line (x274,113 y262,591 / x276,074 y300,000 / black) 
   Line (x275,254 y284,369 / x281,439 y280,353 / black) 
   Line (x276,074 y0,000 / x276,462 y7,404 / black) 
   Line (x276,462 y7,404 / x279,584 y52,045 / black) 
   Line (x276,764 y155,826 / x300,000 y168,181 / black) 
   Line (x278,169 y187,787 / x289,878 y200,792 / black) 
   Line (x278,205 y20,940 / x293,419 y0,000 / black) 
   Line (x279,584 y52,045 / x283,473 y96,500 / black) 
   Line (x280,435 y201,351 / x292,058 y201,554 / black) 
   Line (x280,612 y291,252 / x300,000 y297,927 / black) 
   Line (x281,439 y280,353 / x287,800 y276,378 / black) 
   Line (x281,635 y216,883 / x300,000 y207,525 / black) 
   Line (x283,473 y96,500 / x288,124 y140,757 / black) 
   Line (x283,734 y271,150 / x296,989 y277,331 / black) 
   Line (x284,241 y24,471 / x300,000 y11,709 / black) 
   Line (x287,800 y276,378 / x294,335 y272,451 / black) 
   Line (x288,124 y140,757 / x293,532 y184,801 / black) 
   Line (x289,358 y269,027 / x300,000 y277,046 / black) 
   Line (x289,607 y175,740 / x300,000 y193,742 / black) 
   Line (x289,878 y200,792 / x300,000 y212,436 / black) 
   Line (x290,598 y31,332 / x300,000 y28,457 / black) 
   Line (x292,058 y201,554 / x300,000 y201,832 / black) 
   Line (x292,135 y74,860 / x300,000 y76,246 / black) 
   Line (x293,419 y300,000 / x294,222 y298,894 / black) 
   Line (x293,532 y184,801 / x299,691 y228,620 / black) 
   Line (x294,222 y298,894 / x300,000 y290,643 / black) 
   Line (x294,335 y272,451 / x300,000 y269,181 / black) 
   Line (x296,727 y0,000 / x300,000 y3,635 / black) 
   Line (x296,989 y277,331 / x300,000 y278,799 / black) 
   Line (x299,691 y228,620 / x300,000 y230,573 / black) 
Missing shapes in your solution:
   plm.universe.turtles.Circle@30db8311
   plm.universe.turtles.Circle@2ba80cc6
   plm.universe.turtles.Circle@29800f96
   plm.universe.turtles.Circle@17370bb7
   plm.universe.turtles.Circle@7b18c14b
   plm.universe.turtles.Circle@103d2cd2
   plm.universe.turtles.Circle@39e86dfc
   plm.universe.turtles.Circle@162db3c5
   plm.universe.turtles.Circle@2b022ad2
   plm.universe.turtles.Circle@52a0d8dc

