  In (0,2), the ground is expected to be light grey, but it is white.
  In (2,48), the ground is expected to be light grey, but it is white.
  In (2,51), the ground is expected to be white, but it is light grey.
  In (2,55), the ground is expected to be light grey, but it is white.
  In (2,56), the ground is expected to be light grey, but it is white.
  In (2,59), the ground is expected to be white, but it is light grey.
  In (2,61), the ground is expected to be white, but it is light grey.
  In (2,62), the ground is expected to be light grey, but it is white.
  In (3,1), the ground is expected to be light grey, but it is white.
  In (3,5), the ground is expected to be light grey, but it is white.
  In (3,8), the ground is expected to be light grey, but it is white.
  In (3,12), the ground is expected to be light grey, but it is white.
  In (3,15), the ground is expected to be light grey, but it is white.
  In (3,19), the ground is expected to be light grey, but it is white.
  In (3,22), the ground is expected to be light grey, but it is white.
  In (3,23), the ground is expected to be white, but it is light grey.
  In (3,24), the ground is expected to be white, but it is light grey.
  In (3,25), the ground is expected to be white, but it is light grey.
  In (3,27), the ground is expected to be white, but it is light grey.
  In (3,29), the ground is expected to be light grey, but it is white.
  In (3,33), the ground is expected to be light grey, but it is white.
  In (3,36), the ground is expected to be light grey, but it is white.
  In (3,39), the ground is expected to be white, but it is light grey.
  In (3,40), the ground is expected to be light grey, but it is white.
  In (3,41), the ground is expected to be white, but it is light grey.
  In (3,43), the ground is expected to be light grey, but it is white.
  In (3,47), the ground is expected to be light grey, but it is white.
  In (3,48), the ground is expected to be white, but it is light grey.
  In (3,52), the ground is expected to be white, but it is light grey.
  In (3,54), the ground is expected to be light grey, but it is white.
  In (3,57), the ground is expected to be light grey, but it is white.
  In (3,58), the ground is expected to be white, but it is light grey.
  In (3,60), the ground is expected to be white, but it is light grey.
  In (3,61), the ground is expected to be light grey, but it is white.
  In (3,62), the ground is expected to be white, but it is light grey.
  In (4,0), the ground is expected to be light grey, but it is white.
  In (4,6), the ground is expected to be light grey, but it is white.
  In (4,7), the ground is expected to be light grey, but it is white.
  In (4,13), the ground is expected to be light grey, but it is white.
  In (4,14), the ground is expected to be light grey, but it is white.
  In (4,20), the ground is expected to be light grey, but it is white.
  In (4,21), the ground is expected to be light grey, but it is white.
  In (4,23), the ground is expected to be white, but it is light grey.
  In (4,24), the ground is expected to be white, but it is light grey.
  In (4,25), the ground is expected to be white, but it is light grey.
  In (4,26), the ground is expected to be white, but it is light grey.
  In (4,28), the ground is expected to be light grey, but it is white.
  In (4,34), the ground is expected to be light grey, but it is white.
  In (4,35), the ground is expected to be light grey, but it is white.
  In (4,38), the ground is expected to be white, but it is light grey.
  In (4,39), the ground is expected to be white, but it is light grey.
  In (4,40), the ground is expected to be white, but it is light grey.
  In (4,48), the ground is expected to be light grey, but it is white.
  In (4,51), the ground is expected to be white, but it is light grey.
  In (4,55), the ground is expected to be light grey, but it is white.
  In (4,56), the ground is expected to be light grey, but it is white.
  In (4,59), the ground is expected to be white, but it is light grey.
  In (4,61), the ground is expected to be white, but it is light grey.
  In (4,62), the ground is expected to be light grey, but it is white.
  In (5,3), the ground is expected to be light grey, but it is white.
  In (5,10), the ground is expected to be light grey, but it is white.
  In (5,17), the ground is expected to be light grey, but it is white.
  In (5,26), the ground is expected to be white, but it is light grey.
  In (5,31), the ground is expected to be light grey, but it is white.
  In (5,39), the ground is expected to be white, but it is light grey.
  In (5,40), the ground is expected to be white, but it is light grey.
  In (5,41), the ground is expected to be white, but it is light grey.
  In (5,42), the ground is expected to be white, but it is light grey.
  In (5,45), the ground is expected to be light grey, but it is white.
  In (5,48), the ground is expected to be white, but it is light grey.
  In (5,50), the ground is expected to be white, but it is light grey.
  In (5,61), the ground is expected to be white, but it is light grey.
  In (6,2), the ground is expected to be light grey, but it is white.
  In (6,4), the ground is expected to be light grey, but it is white.
  In (6,9), the ground is expected to be light grey, but it is white.
  In (6,11), the ground is expected to be light grey, but it is white.
  In (6,16), the ground is expected to be light grey, but it is white.
  In (6,18), the ground is expected to be light grey, but it is white.
  In (6,27), the ground is expected to be white, but it is light grey.
  In (6,30), the ground is expected to be light grey, but it is white.
  In (6,32), the ground is expected to be light grey, but it is white.
  In (6,34), the ground is expected to be white, but it is light grey.
  In (6,36), the ground is expected to be white, but it is light grey.
  In (6,37), the ground is expected to be light grey, but it is white.
  In (6,41), the ground is expected to be white, but it is light grey.
  In (6,44), the ground is expected to be light grey, but it is white.
  In (6,46), the ground is expected to be light grey, but it is white.
  In (6,49), the ground is expected to be white, but it is light grey.
  In (6,53), the ground is expected to be light grey, but it is white.
  In (6,62), the ground is expected to be white, but it is light grey.
  In (7,2), the ground is expected to be light grey, but it is white.
  In (7,4), the ground is expected to be light grey, but it is white.
  In (7,9), the ground is expected to be light grey, but it is white.
  In (7,11), the ground is expected to be light grey, but it is white.
  In (7,16), the ground is expected to be light grey, but it is white.
  In (7,18), the ground is expected to be light grey, but it is white.
  In (7,23), the ground is expected to be light grey, but it is white.
  In (7,24), the ground is expected to be white, but it is light grey.
  In (7,25), the ground is expected to be light grey, but it is white.
  In (7,26), the ground is expected to be white, but it is light grey.
  In (7,30), the ground is expected to be light grey, but it is white.
  In (7,32), the ground is expected to be light grey, but it is white.
  In (7,33), the ground is expected to be white, but it is light grey.
  In (7,35), the ground is expected to be white, but it is light grey.
  In (7,38), the ground is expected to be white, but it is light grey.
  In (7,39), the ground is expected to be light grey, but it is white.
  In (7,40), the ground is expected to be white, but it is light grey.
  In (7,42), the ground is expected to be white, but it is light grey.
  In (7,44), the ground is expected to be light grey, but it is white.
  In (7,46), the ground is expected to be light grey, but it is white.
  In (7,49), the ground is expected to be white, but it is light grey.
  In (7,53), the ground is expected to be light grey, but it is white.
  In (7,58), the ground is expected to be light grey, but it is white.
  In (7,59), the ground is expected to be white, but it is light grey.
  In (7,60), the ground is expected to be light grey, but it is white.
  In (7,61), the ground is expected to be white, but it is light grey.
  In (8,3), the ground is expected to be light grey, but it is white.
  In (8,10), the ground is expected to be light grey, but it is white.
  In (8,17), the ground is expected to be light grey, but it is white.
  In (8,23), the ground is expected to be white, but it is light grey.
  In (8,25), the ground is expected to be white, but it is light grey.
  In (8,26), the ground is expected to be white, but it is light grey.
  In (8,27), the ground is expected to be white, but it is light grey.
  In (8,31), the ground is expected to be light grey, but it is white.
  In (8,34), the ground is expected to be white, but it is light grey.
  In (8,36), the ground is expected to be white, but it is light grey.
  In (8,38), the ground is expected to be light grey, but it is white.
  In (8,39), the ground is expected to be white, but it is light grey.
  In (8,41), the ground is expected to be white, but it is light grey.
  In (8,45), the ground is expected to be light grey, but it is white.
  In (8,48), the ground is expected to be white, but it is light grey.
  In (8,50), the ground is expected to be white, but it is light grey.
  In (8,58), the ground is expected to be white, but it is light grey.
  In (8,59), the ground is expected to be light grey, but it is white.
  In (8,60), the ground is expected to be white, but it is light grey.
  In (8,62), the ground is expected to be white, but it is light grey.
  In (9,0), the ground is expected to be light grey, but it is white.
  In (9,6), the ground is expected to be light grey, but it is white.
  In (9,7), the ground is expected to be light grey, but it is white.
  In (9,13), the ground is expected to be light grey, but it is white.
  In (9,14), the ground is expected to be light grey, but it is white.
  In (9,20), the ground is expected to be light grey, but it is white.
  In (9,21), the ground is expected to be light grey, but it is white.
  In (9,23), the ground is expected to be white, but it is light grey.
  In (9,24), the ground is expected to be white, but it is light grey.
  In (9,25), the ground is expected to be white, but it is light grey.
  In (9,26), the ground is expected to be white, but it is light grey.
  In (9,28), the ground is expected to be light grey, but it is white.
  In (9,33), the ground is expected to be white, but it is light grey.
  In (9,34), the ground is expected to be light grey, but it is white.
  In (9,37), the ground is expected to be white, but it is light grey.
  In (9,41), the ground is expected to be light grey, but it is white.
  In (9,42), the ground is expected to be light grey, but it is white.
  In (9,44), the ground is expected to be white, but it is light grey.
  In (9,46), the ground is expected to be white, but it is light grey.
  In (9,48), the ground is expected to be light grey, but it is white.
  In (9,51), the ground is expected to be white, but it is light grey.
  In (9,55), the ground is expected to be light grey, but it is white.
  In (9,56), the ground is expected to be light grey, but it is white.
  In (9,59), the ground is expected to be white, but it is light grey.
  In (9,61), the ground is expected to be white, but it is light grey.
  In (9,62), the ground is expected to be light grey, but it is white.
  In (10,1), the ground is expected to be light grey, but it is white.
  In (10,5), the ground is expected to be light grey, but it is white.
  In (10,8), the ground is expected to be light grey, but it is white.
  In (10,12), the ground is expected to be light grey, but it is white.
  In (10,15), the ground is expected to be light grey, but it is white.
  In (10,19), the ground is expected to be light grey, but it is white.
  In (10,22), the ground is expected to be light grey, but it is white.
  In (10,24), the ground is expected to be white, but it is light grey.
  In (10,29), the ground is expected to be light grey, but it is white.
  In (10,33), the ground is expected to be light grey, but it is white.
  In (10,34), the ground is expected to be white, but it is light grey.
  In (10,40), the ground is expected to be light grey, but it is white.
  In (10,45), the ground is expected to be white, but it is light grey.
  In (10,48), the ground is expected to be white, but it is light grey.
  In (10,52), the ground is expected to be white, but it is light grey.
  In (10,54), the ground is expected to be light grey, but it is white.
  In (10,57), the ground is expected to be light grey, but it is white.
  In (10,59), the ground is expected to be white, but it is light grey.
  In (11,0), the ground is expected to be light grey, but it is white.
  In (11,6), the ground is expected to be light grey, but it is white.
  In (11,7), the ground is expected to be light grey, but it is white.
  In (11,13), the ground is expected to be light grey, but it is white.
  In (11,14), the ground is expected to be light grey, but it is white.
  In (11,20), the ground is expected to be light grey, but it is white.
  In (11,21), the ground is expected to be light grey, but it is white.
  In (11,23), the ground is expected to be white, but it is light grey.
  In (11,25), the ground is expected to be white, but it is light grey.
  In (11,28), the ground is expected to be light grey, but it is white.
  In (11,35), the ground is expected to be light grey, but it is white.
  In (11,36), the ground is expected to be white, but it is light grey.
  In (11,41), the ground is expected to be light grey, but it is white.
  In (11,42), the ground is expected to be light grey, but it is white.
  In (11,44), the ground is expected to be white, but it is light grey.
  In (11,46), the ground is expected to be white, but it is light grey.
  In (11,48), the ground is expected to be light grey, but it is white.
  In (11,51), the ground is expected to be white, but it is light grey.
  In (11,55), the ground is expected to be light grey, but it is white.
  In (11,56), the ground is expected to be light grey, but it is white.
  In (11,58), the ground is expected to be white, but it is light grey.
  In (11,60), the ground is expected to be white, but it is light grey.
  In (12,3), the ground is expected to be light grey, but it is white.
  In (12,10), the ground is expected to be light grey, but it is white.
  In (12,17), the ground is expected to be light grey, but it is white.
  In (12,26), the ground is expected to be white, but it is light grey.
  In (12,31), the ground is expected to be light grey, but it is white.
  In (12,33), the ground is expected to be white, but it is light grey.
  In (12,35), the ground is expected to be white, but it is light grey.
  In (12,37), the ground is expected to be white, but it is light grey.
  In (12,38), the ground is expected to be light grey, but it is white.
  In (12,43), the ground is expected to be white, but it is light grey.
  In (12,44), the ground is expected to be white, but it is light grey.
  In (12,46), the ground is expected to be white, but it is light grey.
  In (12,47), the ground is expected to be white, but it is light grey.
  In (12,52), the ground is expected to be light grey, but it is white.
  In (12,61), the ground is expected to be white, but it is light grey.
  In (13,2), the ground is expected to be light grey, but it is white.
  In (13,4), the ground is expected to be light grey, but it is white.
  In (13,9), the ground is expected to be light grey, but it is white.
  In (13,11), the ground is expected to be light grey, but it is white.
  In (13,16), the ground is expected to be light grey, but it is white.
  In (13,18), the ground is expected to be light grey, but it is white.
  In (13,24), the ground is expected to be white, but it is light grey.
  In (13,26), the ground is expected to be white, but it is light grey.
  In (13,27), the ground is expected to be white, but it is light grey.
  In (13,30), the ground is expected to be light grey, but it is white.
  In (13,32), the ground is expected to be light grey, but it is white.
  In (13,34), the ground is expected to be white, but it is light grey.
  In (13,36), the ground is expected to be white, but it is light grey.
  In (13,37), the ground is expected to be light grey, but it is white.
  In (13,39), the ground is expected to be light grey, but it is white.
  In (13,43), the ground is expected to be white, but it is light grey.
  In (13,45), the ground is expected to be white, but it is light grey.
  In (13,47), the ground is expected to be white, but it is light grey.
  In (13,51), the ground is expected to be light grey, but it is white.
  In (13,53), the ground is expected to be light grey, but it is white.
  In (13,62), the ground is expected to be white, but it is light grey.
  In (14,2), the ground is expected to be light grey, but it is white.
  In (14,4), the ground is expected to be light grey, but it is white.
  In (14,9), the ground is expected to be light grey, but it is white.
  In (14,11), the ground is expected to be light grey, but it is white.
  In (14,16), the ground is expected to be light grey, but it is white.
  In (14,18), the ground is expected to be light grey, but it is white.
  In (14,24), the ground is expected to be white, but it is light grey.
  In (14,26), the ground is expected to be white, but it is light grey.
  In (14,27), the ground is expected to be white, but it is light grey.
  In (14,30), the ground is expected to be light grey, but it is white.
  In (14,32), the ground is expected to be light grey, but it is white.
  In (14,33), the ground is expected to be white, but it is light grey.
  In (14,35), the ground is expected to be white, but it is light grey.
  In (14,39), the ground is expected to be light grey, but it is white.
  In (14,51), the ground is expected to be light grey, but it is white.
  In (14,53), the ground is expected to be light grey, but it is white.
  In (14,58), the ground is expected to be light grey, but it is white.
  In (14,59), the ground is expected to be white, but it is light grey.
  In (14,60), the ground is expected to be light grey, but it is white.
  In (14,61), the ground is expected to be white, but it is light grey.
  In (15,3), the ground is expected to be light grey, but it is white.
  In (15,10), the ground is expected to be light grey, but it is white.
  In (15,17), the ground is expected to be light grey, but it is white.
  In (15,19), the ground is expected to be white, but it is light grey.
  In (15,21), the ground is expected to be white, but it is light grey.
  In (15,26), the ground is expected to be white, but it is light grey.
  In (15,31), the ground is expected to be light grey, but it is white.
  In (15,34), the ground is expected to be white, but it is light grey.
  In (15,36), the ground is expected to be white, but it is light grey.
  In (15,38), the ground is expected to be light grey, but it is white.
  In (15,43), the ground is expected to be white, but it is light grey.
  In (15,47), the ground is expected to be white, but it is light grey.
  In (15,52), the ground is expected to be light grey, but it is white.
  In (15,54), the ground is expected to be white, but it is light grey.
  In (15,56), the ground is expected to be white, but it is light grey.
  In (15,59), the ground is expected to be light grey, but it is white.
  In (16,0), the ground is expected to be light grey, but it is white.
  In (16,6), the ground is expected to be light grey, but it is white.
  In (16,7), the ground is expected to be light grey, but it is white.
  In (16,13), the ground is expected to be light grey, but it is white.
  In (16,14), the ground is expected to be light grey, but it is white.
  In (16,18), the ground is expected to be white, but it is light grey.
  In (16,21), the ground is expected to be light grey, but it is white.
  In (16,22), the ground is expected to be white, but it is light grey.
  In (16,23), the ground is expected to be white, but it is light grey.
  In (16,25), the ground is expected to be white, but it is light grey.
  In (16,28), the ground is expected to be light grey, but it is white.
  In (16,35), the ground is expected to be light grey, but it is white.
  In (16,36), the ground is expected to be white, but it is light grey.
  In (16,41), the ground is expected to be light grey, but it is white.
  In (16,42), the ground is expected to be light grey, but it is white.
  In (16,44), the ground is expected to be white, but it is light grey.
  In (16,46), the ground is expected to be white, but it is light grey.
  In (16,48), the ground is expected to be light grey, but it is white.
  In (16,49), the ground is expected to be light grey, but it is white.
  In (16,53), the ground is expected to be white, but it is light grey.
  In (16,56), the ground is expected to be light grey, but it is white.
  In (16,57), the ground is expected to be white, but it is light grey.
  In (16,62), the ground is expected to be light grey, but it is white.
  In (17,1), the ground is expected to be light grey, but it is white.
  In (17,5), the ground is expected to be light grey, but it is white.
  In (17,8), the ground is expected to be light grey, but it is white.
  In (17,12), the ground is expected to be light grey, but it is white.
  In (17,15), the ground is expected to be light grey, but it is white.
  In (17,21), the ground is expected to be white, but it is light grey.
  In (17,22), the ground is expected to be light grey, but it is white.
  In (17,24), the ground is expected to be white, but it is light grey.
  In (17,29), the ground is expected to be light grey, but it is white.
  In (17,35), the ground is expected to be white, but it is light grey.
  In (17,36), the ground is expected to be light grey, but it is white.
  In (17,37), the ground is expected to be white, but it is light grey.
  In (17,40), the ground is expected to be light grey, but it is white.
  In (17,44), the ground is expected to be white, but it is light grey.
  In (17,45), the ground is expected to be white, but it is light grey.
  In (17,46), the ground is expected to be white, but it is light grey.
  In (17,50), the ground is expected to be light grey, but it is white.
  In (17,56), the ground is expected to be white, but it is light grey.
  In (17,57), the ground is expected to be light grey, but it is white.
  In (17,61), the ground is expected to be light grey, but it is white.
  In (18,0), the ground is expected to be light grey, but it is white.
  In (18,6), the ground is expected to be light grey, but it is white.
  In (18,7), the ground is expected to be light grey, but it is white.
  In (18,13), the ground is expected to be light grey, but it is white.
  In (18,14), the ground is expected to be light grey, but it is white.
  In (18,18), the ground is expected to be white, but it is light grey.
  In (18,21), the ground is expected to be light grey, but it is white.
  In (18,22), the ground is expected to be white, but it is light grey.
  In (18,27), the ground is expected to be light grey, but it is white.
  In (18,28), the ground is expected to be light grey, but it is white.
  In (18,29), the ground is expected to be white, but it is light grey.
  In (18,31), the ground is expected to be white, but it is light grey.
  In (18,35), the ground is expected to be light grey, but it is white.
  In (18,36), the ground is expected to be white, but it is light grey.
  In (18,41), the ground is expected to be light grey, but it is white.
  In (18,42), the ground is expected to be light grey, but it is white.
  In (18,43), the ground is expected to be white, but it is light grey.
  In (18,44), the ground is expected to be white, but it is light grey.
  In (18,45), the ground is expected to be white, but it is light grey.
  In (18,46), the ground is expected to be white, but it is light grey.
  In (18,47), the ground is expected to be white, but it is light grey.
  In (18,48), the ground is expected to be light grey, but it is white.
  In (18,49), the ground is expected to be light grey, but it is white.
  In (18,53), the ground is expected to be white, but it is light grey.
  In (18,56), the ground is expected to be light grey, but it is white.
  In (18,57), the ground is expected to be white, but it is light grey.
  In (18,62), the ground is expected to be light grey, but it is white.
  In (19,3), the ground is expected to be light grey, but it is white.
  In (19,10), the ground is expected to be light grey, but it is white.
  In (19,17), the ground is expected to be light grey, but it is white.
  In (19,19), the ground is expected to be white, but it is light grey.
  In (19,21), the ground is expected to be white, but it is light grey.
  In (19,24), the ground is expected to be light grey, but it is white.
  In (19,28), the ground is expected to be white, but it is light grey.
  In (19,30), the ground is expected to be white, but it is light grey.
  In (19,31), the ground is expected to be light grey, but it is white.
  In (19,32), the ground is expected to be white, but it is light grey.
  In (19,33), the ground is expected to be white, but it is light grey.
  In (19,35), the ground is expected to be white, but it is light grey.
  In (19,37), the ground is expected to be white, but it is light grey.
  In (19,38), the ground is expected to be light grey, but it is white.
  In (19,44), the ground is expected to be white, but it is light grey.
  In (19,45), the ground is expected to be light grey, but it is white.
  In (19,46), the ground is expected to be white, but it is light grey.
  In (19,52), the ground is expected to be light grey, but it is white.
  In (19,54), the ground is expected to be white, but it is light grey.
  In (19,56), the ground is expected to be white, but it is light grey.
  In (19,59), the ground is expected to be light grey, but it is white.
  In (20,2), the ground is expected to be light grey, but it is white.
  In (20,4), the ground is expected to be light grey, but it is white.
  In (20,9), the ground is expected to be light grey, but it is white.
  In (20,11), the ground is expected to be light grey, but it is white.
  In (20,16), the ground is expected to be light grey, but it is white.
  In (20,18), the ground is expected to be light grey, but it is white.
  In (20,19), the ground is expected to be white, but it is light grey.
  In (20,21), the ground is expected to be white, but it is light grey.
  In (20,23), the ground is expected to be light grey, but it is white.
  In (20,25), the ground is expected to be light grey, but it is white.
  In (20,29), the ground is expected to be white, but it is light grey.
  In (20,30), the ground is expected to be light grey, but it is white.
  In (20,31), the ground is expected to be white, but it is light grey.
  In (20,32), the ground is expected to be light grey, but it is white.
  In (20,34), the ground is expected to be white, but it is light grey.
  In (20,36), the ground is expected to be white, but it is light grey.
  In (20,37), the ground is expected to be light grey, but it is white.
  In (20,39), the ground is expected to be light grey, but it is white.
  In (20,43), the ground is expected to be white, but it is light grey.
  In (20,44), the ground is expected to be light grey, but it is white.
  In (20,45), the ground is expected to be white, but it is light grey.
  In (20,46), the ground is expected to be light grey, but it is white.
  In (20,47), the ground is expected to be white, but it is light grey.
  In (20,51), the ground is expected to be light grey, but it is white.
  In (20,53), the ground is expected to be light grey, but it is white.
  In (20,54), the ground is expected to be white, but it is light grey.
  In (20,56), the ground is expected to be white, but it is light grey.
  In (20,58), the ground is expected to be light grey, but it is white.
  In (20,60), the ground is expected to be light grey, but it is white.
  In (21,2), the ground is expected to be light grey, but it is white.
  In (21,4), the ground is expected to be light grey, but it is white.
  In (21,9), the ground is expected to be light grey, but it is white.
  In (21,11), the ground is expected to be light grey, but it is white.
  In (21,16), the ground is expected to be light grey, but it is white.
  In (21,20), the ground is expected to be white, but it is light grey.
  In (21,22), the ground is expected to be white, but it is light grey.
  In (21,23), the ground is expected to be light grey, but it is white.
  In (21,25), the ground is expected to be light grey, but it is white.
  In (21,28), the ground is expected to be white, but it is light grey.
  In (21,29), the ground is expected to be white, but it is light grey.
  In (21,31), the ground is expected to be white, but it is light grey.
  In (21,37), the ground is expected to be light grey, but it is white.
  In (21,39), the ground is expected to be light grey, but it is white.
  In (21,51), the ground is expected to be light grey, but it is white.
  In (21,55), the ground is expected to be white, but it is light grey.
  In (21,57), the ground is expected to be white, but it is light grey.
  In (21,58), the ground is expected to be light grey, but it is white.
  In (21,60), the ground is expected to be light grey, but it is white.
  In (22,3), the ground is expected to be light grey, but it is white.
  In (22,10), the ground is expected to be light grey, but it is white.
  In (22,17), the ground is expected to be light grey, but it is white.
  In (22,19), the ground is expected to be white, but it is light grey.
  In (22,21), the ground is expected to be white, but it is light grey.
  In (22,24), the ground is expected to be light grey, but it is white.
  In (22,28), the ground is expected to be white, but it is light grey.
  In (22,29), the ground is expected to be white, but it is light grey.
  In (22,30), the ground is expected to be white, but it is light grey.
  In (22,32), the ground is expected to be white, but it is light grey.
  In (22,38), the ground is expected to be light grey, but it is white.
  In (22,43), the ground is expected to be white, but it is light grey.
  In (22,44), the ground is expected to be white, but it is light grey.
  In (22,46), the ground is expected to be white, but it is light grey.
  In (22,47), the ground is expected to be white, but it is light grey.
  In (22,52), the ground is expected to be light grey, but it is white.
  In (22,54), the ground is expected to be white, but it is light grey.
  In (22,56), the ground is expected to be white, but it is light grey.
  In (22,59), the ground is expected to be light grey, but it is white.
  In (23,0), the ground is expected to be light grey, but it is white.
  In (23,6), the ground is expected to be light grey, but it is white.
  In (23,7), the ground is expected to be light grey, but it is white.
  In (23,13), the ground is expected to be light grey, but it is white.
  In (23,14), the ground is expected to be light grey, but it is white.
  In (23,18), the ground is expected to be white, but it is light grey.
  In (23,21), the ground is expected to be light grey, but it is white.
  In (23,22), the ground is expected to be white, but it is light grey.
  In (23,27), the ground is expected to be light grey, but it is white.
  In (23,28), the ground is expected to be light grey, but it is white.
  In (23,29), the ground is expected to be white, but it is light grey.
  In (23,31), the ground is expected to be white, but it is light grey.
  In (23,34), the ground is expected to be light grey, but it is white.
  In (23,35), the ground is expected to be light grey, but it is white.
  In (23,41), the ground is expected to be light grey, but it is white.
  In (23,42), the ground is expected to be light grey, but it is white.
  In (23,43), the ground is expected to be white, but it is light grey.
  In (23,44), the ground is expected to be white, but it is light grey.
  In (23,45), the ground is expected to be white, but it is light grey.
  In (23,46), the ground is expected to be white, but it is light grey.
  In (23,47), the ground is expected to be white, but it is light grey.
  In (23,48), the ground is expected to be light grey, but it is white.
  In (23,49), the ground is expected to be light grey, but it is white.
  In (23,53), the ground is expected to be white, but it is light grey.
  In (23,56), the ground is expected to be light grey, but it is white.
  In (23,57), the ground is expected to be white, but it is light grey.
  In (23,62), the ground is expected to be light grey, but it is white.
  In (24,1), the ground is expected to be light grey, but it is white.
  In (24,5), the ground is expected to be light grey, but it is white.
  In (24,8), the ground is expected to be light grey, but it is white.
  In (24,12), the ground is expected to be light grey, but it is white.
  In (24,15), the ground is expected to be light grey, but it is white.
  In (24,21), the ground is expected to be white, but it is light grey.
  In (24,22), the ground is expected to be light grey, but it is white.
  In (24,26), the ground is expected to be light grey, but it is white.
  In (24,28), the ground is expected to be white, but it is light grey.
  In (24,29), the ground is expected to be light grey, but it is white.
  In (24,30), the ground is expected to be white, but it is light grey.
  In (24,32), the ground is expected to be white, but it is light grey.
  In (24,33), the ground is expected to be light grey, but it is white.
  In (24,36), the ground is expected to be light grey, but it is white.
  In (24,39), the ground is expected to be white, but it is light grey.
  In (24,40), the ground is expected to be light grey, but it is white.
  In (24,41), the ground is expected to be white, but it is light grey.
  In (24,43), the ground is expected to be light grey, but it is white.
  In (24,44), the ground is expected to be white, but it is light grey.
  In (24,46), the ground is expected to be white, but it is light grey.
  In (24,47), the ground is expected to be light grey, but it is white.
  In (24,50), the ground is expected to be light grey, but it is white.
  In (24,56), the ground is expected to be white, but it is light grey.
  In (24,57), the ground is expected to be light grey, but it is white.
  In (24,61), the ground is expected to be light grey, but it is white.
  In (25,0), the ground is expected to be light grey, but it is white.
  In (25,6), the ground is expected to be light grey, but it is white.
  In (25,7), the ground is expected to be light grey, but it is white.
  In (25,13), the ground is expected to be light grey, but it is white.
  In (25,14), the ground is expected to be light grey, but it is white.
  In (25,19), the ground is expected to be white, but it is light grey.
