  In (0,1), the ground is expected to be white, but it is light grey.
  In (4,46), the ground is expected to be white, but it is light grey.
  In (4,48), the ground is expected to be light grey, but it is white.
  In (4,51), the ground is expected to be white, but it is light grey.
  In (4,54), the ground is expected to be white, but it is light grey.
  In (4,55), the ground is expected to be light grey, but it is white.
  In (4,59), the ground is expected to be white, but it is light grey.
  In (4,61), the ground is expected to be white, but it is light grey.
  In (4,62), the ground is expected to be light grey, but it is white.
  In (5,1), the ground is expected to be white, but it is light grey.
  In (5,10), the ground is expected to be light grey, but it is white.
  In (5,17), the ground is expected to be light grey, but it is white.
  In (5,24), the ground is expected to be light grey, but it is white.
  In (5,31), the ground is expected to be light grey, but it is white.
  In (5,38), the ground is expected to be light grey, but it is white.
  In (5,39), the ground is expected to be white, but it is light grey.
  In (5,41), the ground is expected to be white, but it is light grey.
  In (5,44), the ground is expected to be white, but it is light grey.
  In (5,45), the ground is expected to be light grey, but it is white.
  In (5,46), the ground is expected to be white, but it is light grey.
  In (5,49), the ground is expected to be white, but it is light grey.
  In (5,51), the ground is expected to be white, but it is light grey.
  In (5,52), the ground is expected to be light grey, but it is white.
  In (5,54), the ground is expected to be white, but it is light grey.
  In (5,56), the ground is expected to be white, but it is light grey.
  In (5,61), the ground is expected to be white, but it is light grey.
  In (6,0), the ground is expected to be white, but it is light grey.
  In (6,9), the ground is expected to be light grey, but it is white.
  In (6,11), the ground is expected to be light grey, but it is white.
  In (6,16), the ground is expected to be light grey, but it is white.
  In (6,18), the ground is expected to be light grey, but it is white.
  In (6,23), the ground is expected to be light grey, but it is white.
  In (6,25), the ground is expected to be light grey, but it is white.
  In (6,30), the ground is expected to be light grey, but it is white.
  In (6,32), the ground is expected to be light grey, but it is white.
  In (6,37), the ground is expected to be light grey, but it is white.
  In (6,38), the ground is expected to be white, but it is light grey.
  In (6,39), the ground is expected to be light grey, but it is white.
  In (6,40), the ground is expected to be white, but it is light grey.
  In (6,42), the ground is expected to be white, but it is light grey.
  In (6,43), the ground is expected to be white, but it is light grey.
  In (6,44), the ground is expected to be light grey, but it is white.
  In (6,45), the ground is expected to be white, but it is light grey.
  In (6,46), the ground is expected to be light grey, but it is white.
  In (6,47), the ground is expected to be white, but it is light grey.
  In (6,48), the ground is expected to be white, but it is light grey.
  In (6,50), the ground is expected to be white, but it is light grey.
  In (6,51), the ground is expected to be light grey, but it is white.
  In (6,52), the ground is expected to be white, but it is light grey.
  In (6,55), the ground is expected to be white, but it is light grey.
  In (6,57), the ground is expected to be white, but it is light grey.
  In (6,62), the ground is expected to be white, but it is light grey.
  In (7,1), the ground is expected to be white, but it is light grey.
  In (7,2), the ground is expected to be light grey, but it is white.
  In (7,3), the ground is expected to be white, but it is light grey.
  In (7,4), the ground is expected to be light grey, but it is white.
  In (7,9), the ground is expected to be light grey, but it is white.
  In (7,11), the ground is expected to be light grey, but it is white.
  In (7,16), the ground is expected to be light grey, but it is white.
  In (7,18), the ground is expected to be light grey, but it is white.
  In (7,23), the ground is expected to be light grey, but it is white.
  In (7,25), the ground is expected to be light grey, but it is white.
  In (7,30), the ground is expected to be light grey, but it is white.
  In (7,32), the ground is expected to be light grey, but it is white.
  In (7,37), the ground is expected to be light grey, but it is white.
  In (7,41), the ground is expected to be white, but it is light grey.
  In (7,49), the ground is expected to be white, but it is light grey.
  In (7,53), the ground is expected to be light grey, but it is white.
  In (7,54), the ground is expected to be white, but it is light grey.
  In (7,56), the ground is expected to be white, but it is light grey.
  In (7,58), the ground is expected to be light grey, but it is white.
  In (7,59), the ground is expected to be white, but it is light grey.
  In (7,60), the ground is expected to be light grey, but it is white.
  In (7,61), the ground is expected to be white, but it is light grey.
  In (8,0), the ground is expected to be white, but it is light grey.
  In (8,2), the ground is expected to be white, but it is light grey.
  In (8,3), the ground is expected to be light grey, but it is white.
  In (8,4), the ground is expected to be white, but it is light grey.
  In (8,10), the ground is expected to be light grey, but it is white.
  In (8,17), the ground is expected to be light grey, but it is white.
  In (8,24), the ground is expected to be light grey, but it is white.
  In (8,31), the ground is expected to be light grey, but it is white.
  In (8,40), the ground is expected to be white, but it is light grey.
  In (8,42), the ground is expected to be white, but it is light grey.
  In (8,43), the ground is expected to be white, but it is light grey.
  In (8,47), the ground is expected to be white, but it is light grey.
  In (8,48), the ground is expected to be white, but it is light grey.
  In (8,50), the ground is expected to be white, but it is light grey.
  In (8,53), the ground is expected to be white, but it is light grey.
  In (8,55), the ground is expected to be white, but it is light grey.
  In (8,57), the ground is expected to be white, but it is light grey.
  In (8,58), the ground is expected to be white, but it is light grey.
  In (8,59), the ground is expected to be light grey, but it is white.
  In (8,60), the ground is expected to be white, but it is light grey.
  In (8,62), the ground is expected to be white, but it is light grey.
  In (9,0), the ground is expected to be light grey, but it is white.
  In (9,1), the ground is expected to be white, but it is light grey.
  In (9,3), the ground is expected to be white, but it is light grey.
  In (9,6), the ground is expected to be light grey, but it is white.
  In (9,7), the ground is expected to be light grey, but it is white.
  In (9,13), the ground is expected to be light grey, but it is white.
  In (9,14), the ground is expected to be light grey, but it is white.
  In (9,20), the ground is expected to be light grey, but it is white.
  In (9,21), the ground is expected to be light grey, but it is white.
  In (9,27), the ground is expected to be light grey, but it is white.
  In (9,28), the ground is expected to be light grey, but it is white.
  In (9,34), the ground is expected to be light grey, but it is white.
  In (9,35), the ground is expected to be light grey, but it is white.
  In (9,39), the ground is expected to be white, but it is light grey.
  In (9,42), the ground is expected to be light grey, but it is white.
  In (9,44), the ground is expected to be white, but it is light grey.
  In (9,46), the ground is expected to be white, but it is light grey.
  In (9,48), the ground is expected to be light grey, but it is white.
  In (9,51), the ground is expected to be white, but it is light grey.
  In (9,54), the ground is expected to be white, but it is light grey.
  In (9,55), the ground is expected to be light grey, but it is white.
  In (9,59), the ground is expected to be white, but it is light grey.
  In (9,61), the ground is expected to be white, but it is light grey.
  In (9,62), the ground is expected to be light grey, but it is white.
  In (10,3), the ground is expected to be white, but it is light grey.
  In (10,5), the ground is expected to be light grey, but it is white.
  In (10,8), the ground is expected to be light grey, but it is white.
  In (10,12), the ground is expected to be light grey, but it is white.
  In (10,15), the ground is expected to be light grey, but it is white.
  In (10,19), the ground is expected to be light grey, but it is white.
  In (10,22), the ground is expected to be light grey, but it is white.
  In (10,26), the ground is expected to be light grey, but it is white.
  In (10,29), the ground is expected to be light grey, but it is white.
  In (10,33), the ground is expected to be light grey, but it is white.
  In (10,36), the ground is expected to be light grey, but it is white.
  In (10,39), the ground is expected to be white, but it is light grey.
  In (10,40), the ground is expected to be light grey, but it is white.
  In (10,41), the ground is expected to be white, but it is light grey.
  In (10,43), the ground is expected to be light grey, but it is white.
  In (10,44), the ground is expected to be white, but it is light grey.
  In (10,46), the ground is expected to be white, but it is light grey.
  In (10,47), the ground is expected to be light grey, but it is white.
  In (10,49), the ground is expected to be white, but it is light grey.
  In (10,50), the ground is expected to be light grey, but it is white.
  In (10,51), the ground is expected to be white, but it is light grey.
  In (10,56), the ground is expected to be white, but it is light grey.
  In (10,57), the ground is expected to be light grey, but it is white.
  In (10,59), the ground is expected to be white, but it is light grey.
  In (11,2), the ground is expected to be white, but it is light grey.
  In (11,4), the ground is expected to be white, but it is light grey.
  In (11,6), the ground is expected to be light grey, but it is white.
  In (11,7), the ground is expected to be light grey, but it is white.
  In (11,13), the ground is expected to be light grey, but it is white.
  In (11,14), the ground is expected to be light grey, but it is white.
  In (11,20), the ground is expected to be light grey, but it is white.
  In (11,21), the ground is expected to be light grey, but it is white.
  In (11,27), the ground is expected to be light grey, but it is white.
  In (11,28), the ground is expected to be light grey, but it is white.
  In (11,34), the ground is expected to be light grey, but it is white.
  In (11,35), the ground is expected to be light grey, but it is white.
  In (11,38), the ground is expected to be white, but it is light grey.
  In (11,40), the ground is expected to be white, but it is light grey.
  In (11,41), the ground is expected to be light grey, but it is white.
  In (11,43), the ground is expected to be white, but it is light grey.
  In (11,45), the ground is expected to be white, but it is light grey.
  In (11,47), the ground is expected to be white, but it is light grey.
  In (11,49), the ground is expected to be light grey, but it is white.
  In (11,50), the ground is expected to be white, but it is light grey.
  In (11,52), the ground is expected to be white, but it is light grey.
  In (11,53), the ground is expected to be white, but it is light grey.
  In (11,56), the ground is expected to be light grey, but it is white.
  In (11,57), the ground is expected to be white, but it is light grey.
  In (11,58), the ground is expected to be white, but it is light grey.
  In (11,60), the ground is expected to be white, but it is light grey.
  In (12,1), the ground is expected to be white, but it is light grey.
  In (12,10), the ground is expected to be light grey, but it is white.
  In (12,17), the ground is expected to be light grey, but it is white.
  In (12,24), the ground is expected to be light grey, but it is white.
  In (12,31), the ground is expected to be light grey, but it is white.
  In (12,38), the ground is expected to be light grey, but it is white.
  In (12,39), the ground is expected to be white, but it is light grey.
  In (12,41), the ground is expected to be white, but it is light grey.
  In (12,44), the ground is expected to be white, but it is light grey.
  In (12,45), the ground is expected to be light grey, but it is white.
  In (12,46), the ground is expected to be white, but it is light grey.
  In (12,49), the ground is expected to be white, but it is light grey.
  In (12,51), the ground is expected to be white, but it is light grey.
  In (12,52), the ground is expected to be light grey, but it is white.
  In (12,54), the ground is expected to be white, but it is light grey.
  In (12,56), the ground is expected to be white, but it is light grey.
  In (12,61), the ground is expected to be white, but it is light grey.
  In (13,0), the ground is expected to be white, but it is light grey.
  In (13,9), the ground is expected to be light grey, but it is white.
  In (13,11), the ground is expected to be light grey, but it is white.
  In (13,16), the ground is expected to be light grey, but it is white.
  In (13,18), the ground is expected to be light grey, but it is white.
  In (13,23), the ground is expected to be light grey, but it is white.
  In (13,25), the ground is expected to be light grey, but it is white.
  In (13,30), the ground is expected to be light grey, but it is white.
  In (13,32), the ground is expected to be light grey, but it is white.
  In (13,37), the ground is expected to be light grey, but it is white.
  In (13,38), the ground is expected to be white, but it is light grey.
  In (13,39), the ground is expected to be light grey, but it is white.
  In (13,40), the ground is expected to be white, but it is light grey.
  In (13,42), the ground is expected to be white, but it is light grey.
  In (13,43), the ground is expected to be white, but it is light grey.
  In (13,44), the ground is expected to be light grey, but it is white.
  In (13,45), the ground is expected to be white, but it is light grey.
  In (13,46), the ground is expected to be light grey, but it is white.
  In (13,47), the ground is expected to be white, but it is light grey.
  In (13,48), the ground is expected to be white, but it is light grey.
  In (13,50), the ground is expected to be white, but it is light grey.
  In (13,51), the ground is expected to be light grey, but it is white.
  In (13,52), the ground is expected to be white, but it is light grey.
  In (13,55), the ground is expected to be white, but it is light grey.
  In (13,57), the ground is expected to be white, but it is light grey.
  In (13,62), the ground is expected to be white, but it is light grey.
  In (14,1), the ground is expected to be white, but it is light grey.
  In (14,2), the ground is expected to be light grey, but it is white.
  In (14,3), the ground is expected to be white, but it is light grey.
  In (14,4), the ground is expected to be light grey, but it is white.
  In (14,9), the ground is expected to be light grey, but it is white.
  In (14,11), the ground is expected to be light grey, but it is white.
  In (14,16), the ground is expected to be light grey, but it is white.
  In (14,18), the ground is expected to be light grey, but it is white.
  In (14,23), the ground is expected to be light grey, but it is white.
  In (14,25), the ground is expected to be light grey, but it is white.
  In (14,30), the ground is expected to be light grey, but it is white.
  In (14,32), the ground is expected to be light grey, but it is white.
  In (14,37), the ground is expected to be light grey, but it is white.
  In (14,41), the ground is expected to be white, but it is light grey.
  In (14,49), the ground is expected to be white, but it is light grey.
  In (14,53), the ground is expected to be light grey, but it is white.
  In (14,54), the ground is expected to be white, but it is light grey.
  In (14,56), the ground is expected to be white, but it is light grey.
  In (14,58), the ground is expected to be light grey, but it is white.
  In (14,59), the ground is expected to be white, but it is light grey.
  In (14,60), the ground is expected to be light grey, but it is white.
  In (14,61), the ground is expected to be white, but it is light grey.
  In (15,1), the ground is expected to be white, but it is light grey.
  In (15,10), the ground is expected to be light grey, but it is white.
  In (15,17), the ground is expected to be light grey, but it is white.
  In (15,24), the ground is expected to be light grey, but it is white.
  In (15,31), the ground is expected to be light grey, but it is white.
  In (15,38), the ground is expected to be light grey, but it is white.
  In (15,39), the ground is expected to be white, but it is light grey.
  In (15,41), the ground is expected to be white, but it is light grey.
  In (15,44), the ground is expected to be white, but it is light grey.
  In (15,45), the ground is expected to be light grey, but it is white.
  In (15,46), the ground is expected to be white, but it is light grey.
  In (15,49), the ground is expected to be white, but it is light grey.
  In (15,51), the ground is expected to be white, but it is light grey.
  In (15,52), the ground is expected to be light grey, but it is white.
  In (15,54), the ground is expected to be white, but it is light grey.
  In (15,56), the ground is expected to be white, but it is light grey.
  In (15,61), the ground is expected to be white, but it is light grey.
  In (16,2), the ground is expected to be white, but it is light grey.
  In (16,4), the ground is expected to be white, but it is light grey.
  In (16,6), the ground is expected to be light grey, but it is white.
  In (16,7), the ground is expected to be light grey, but it is white.
  In (16,13), the ground is expected to be light grey, but it is white.
  In (16,14), the ground is expected to be light grey, but it is white.
  In (16,20), the ground is expected to be light grey, but it is white.
  In (16,21), the ground is expected to be light grey, but it is white.
  In (16,27), the ground is expected to be light grey, but it is white.
  In (16,28), the ground is expected to be light grey, but it is white.
  In (16,34), the ground is expected to be light grey, but it is white.
  In (16,35), the ground is expected to be light grey, but it is white.
  In (16,38), the ground is expected to be white, but it is light grey.
  In (16,40), the ground is expected to be white, but it is light grey.
  In (16,41), the ground is expected to be light grey, but it is white.
  In (16,43), the ground is expected to be white, but it is light grey.
  In (16,45), the ground is expected to be white, but it is light grey.
  In (16,47), the ground is expected to be white, but it is light grey.
  In (16,49), the ground is expected to be light grey, but it is white.
  In (16,50), the ground is expected to be white, but it is light grey.
  In (16,52), the ground is expected to be white, but it is light grey.
  In (16,53), the ground is expected to be white, but it is light grey.
  In (16,56), the ground is expected to be light grey, but it is white.
  In (16,57), the ground is expected to be white, but it is light grey.
  In (16,58), the ground is expected to be white, but it is light grey.
  In (16,60), the ground is expected to be white, but it is light grey.
  In (17,3), the ground is expected to be white, but it is light grey.
  In (17,5), the ground is expected to be light grey, but it is white.
  In (17,8), the ground is expected to be light grey, but it is white.
  In (17,12), the ground is expected to be light grey, but it is white.
  In (17,15), the ground is expected to be light grey, but it is white.
  In (17,19), the ground is expected to be light grey, but it is white.
  In (17,22), the ground is expected to be light grey, but it is white.
  In (17,26), the ground is expected to be light grey, but it is white.
  In (17,29), the ground is expected to be light grey, but it is white.
  In (17,33), the ground is expected to be light grey, but it is white.
  In (17,36), the ground is expected to be light grey, but it is white.
  In (17,39), the ground is expected to be white, but it is light grey.
  In (17,40), the ground is expected to be light grey, but it is white.
  In (17,41), the ground is expected to be white, but it is light grey.
  In (17,43), the ground is expected to be light grey, but it is white.
  In (17,44), the ground is expected to be white, but it is light grey.
  In (17,46), the ground is expected to be white, but it is light grey.
  In (17,47), the ground is expected to be light grey, but it is white.
  In (17,49), the ground is expected to be white, but it is light grey.
  In (17,50), the ground is expected to be light grey, but it is white.
  In (17,51), the ground is expected to be white, but it is light grey.
  In (17,56), the ground is expected to be white, but it is light grey.
  In (17,57), the ground is expected to be light grey, but it is white.
  In (17,59), the ground is expected to be white, but it is light grey.
  In (18,2), the ground is expected to be white, but it is light grey.
  In (18,4), the ground is expected to be white, but it is light grey.
  In (18,6), the ground is expected to be light grey, but it is white.
  In (18,7), the ground is expected to be light grey, but it is white.
  In (18,13), the ground is expected to be light grey, but it is white.
  In (18,14), the ground is expected to be light grey, but it is white.
  In (18,20), the ground is expected to be light grey, but it is white.
  In (18,21), the ground is expected to be light grey, but it is white.
  In (18,27), the ground is expected to be light grey, but it is white.
  In (18,28), the ground is expected to be light grey, but it is white.
  In (18,34), the ground is expected to be light grey, but it is white.
  In (18,35), the ground is expected to be light grey, but it is white.
  In (18,38), the ground is expected to be white, but it is light grey.
  In (18,40), the ground is expected to be white, but it is light grey.
  In (18,41), the ground is expected to be light grey, but it is white.
  In (18,43), the ground is expected to be white, but it is light grey.
  In (18,45), the ground is expected to be white, but it is light grey.
  In (18,47), the ground is expected to be white, but it is light grey.
  In (18,49), the ground is expected to be light grey, but it is white.
  In (18,50), the ground is expected to be white, but it is light grey.
  In (18,52), the ground is expected to be white, but it is light grey.
  In (18,53), the ground is expected to be white, but it is light grey.
  In (18,56), the ground is expected to be light grey, but it is white.
  In (18,57), the ground is expected to be white, but it is light grey.
  In (18,58), the ground is expected to be white, but it is light grey.
  In (18,60), the ground is expected to be white, but it is light grey.
  In (19,1), the ground is expected to be white, but it is light grey.
  In (19,10), the ground is expected to be light grey, but it is white.
  In (19,17), the ground is expected to be light grey, but it is white.
  In (19,24), the ground is expected to be light grey, but it is white.
  In (19,31), the ground is expected to be light grey, but it is white.
  In (19,38), the ground is expected to be light grey, but it is white.
  In (19,39), the ground is expected to be white, but it is light grey.
  In (19,41), the ground is expected to be white, but it is light grey.
  In (19,44), the ground is expected to be white, but it is light grey.
  In (19,45), the ground is expected to be light grey, but it is white.
  In (19,46), the ground is expected to be white, but it is light grey.
  In (19,49), the ground is expected to be white, but it is light grey.
  In (19,51), the ground is expected to be white, but it is light grey.
  In (19,52), the ground is expected to be light grey, but it is white.
  In (19,54), the ground is expected to be white, but it is light grey.
  In (19,56), the ground is expected to be white, but it is light grey.
  In (19,61), the ground is expected to be white, but it is light grey.
  In (20,1), the ground is expected to be white, but it is light grey.
  In (20,2), the ground is expected to be light grey, but it is white.
  In (20,3), the ground is expected to be white, but it is light grey.
  In (20,4), the ground is expected to be light grey, but it is white.
  In (20,9), the ground is expected to be light grey, but it is white.
  In (20,11), the ground is expected to be light grey, but it is white.
  In (20,16), the ground is expected to be light grey, but it is white.
  In (20,18), the ground is expected to be light grey, but it is white.
  In (20,23), the ground is expected to be light grey, but it is white.
  In (20,25), the ground is expected to be light grey, but it is white.
  In (20,30), the ground is expected to be light grey, but it is white.
  In (20,32), the ground is expected to be light grey, but it is white.
  In (20,37), the ground is expected to be light grey, but it is white.
  In (20,41), the ground is expected to be white, but it is light grey.
  In (20,49), the ground is expected to be white, but it is light grey.
  In (20,53), the ground is expected to be light grey, but it is white.
  In (20,54), the ground is expected to be white, but it is light grey.
  In (20,56), the ground is expected to be white, but it is light grey.
  In (20,58), the ground is expected to be light grey, but it is white.
  In (20,59), the ground is expected to be white, but it is light grey.
  In (20,60), the ground is expected to be light grey, but it is white.
  In (20,61), the ground is expected to be white, but it is light grey.
  In (21,0), the ground is expected to be white, but it is light grey.
  In (21,9), the ground is expected to be light grey, but it is white.
  In (21,11), the ground is expected to be light grey, but it is white.
  In (21,16), the ground is expected to be light grey, but it is white.
  In (21,18), the ground is expected to be light grey, but it is white.
  In (21,23), the ground is expected to be light grey, but it is white.
  In (21,25), the ground is expected to be light grey, but it is white.
  In (21,30), the ground is expected to be light grey, but it is white.
  In (21,32), the ground is expected to be light grey, but it is white.
  In (21,37), the ground is expected to be light grey, but it is white.
  In (21,38), the ground is expected to be white, but it is light grey.
  In (21,39), the ground is expected to be light grey, but it is white.
  In (21,40), the ground is expected to be white, but it is light grey.
  In (21,42), the ground is expected to be white, but it is light grey.
  In (21,43), the ground is expected to be white, but it is light grey.
  In (21,44), the ground is expected to be light grey, but it is white.
  In (21,45), the ground is expected to be white, but it is light grey.
  In (21,46), the ground is expected to be light grey, but it is white.
  In (21,47), the ground is expected to be white, but it is light grey.
  In (21,48), the ground is expected to be white, but it is light grey.
  In (21,50), the ground is expected to be white, but it is light grey.
  In (21,51), the ground is expected to be light grey, but it is white.
  In (21,52), the ground is expected to be white, but it is light grey.
  In (21,55), the ground is expected to be white, but it is light grey.
  In (21,57), the ground is expected to be white, but it is light grey.
  In (21,62), the ground is expected to be white, but it is light grey.
  In (22,1), the ground is expected to be white, but it is light grey.
  In (22,10), the ground is expected to be light grey, but it is white.
  In (22,17), the ground is expected to be light grey, but it is white.
  In (22,24), the ground is expected to be light grey, but it is white.
  In (22,31), the ground is expected to be light grey, but it is white.
  In (22,38), the ground is expected to be light grey, but it is white.
  In (22,39), the ground is expected to be white, but it is light grey.
  In (22,41), the ground is expected to be white, but it is light grey.
  In (22,44), the ground is expected to be white, but it is light grey.
  In (22,45), the ground is expected to be light grey, but it is white.
  In (22,46), the ground is expected to be white, but it is light grey.
  In (22,49), the ground is expected to be white, but it is light grey.
  In (22,51), the ground is expected to be white, but it is light grey.
  In (22,52), the ground is expected to be light grey, but it is white.
  In (22,54), the ground is expected to be white, but it is light grey.
  In (22,56), the ground is expected to be white, but it is light grey.
  In (22,61), the ground is expected to be white, but it is light grey.
  In (23,2), the ground is expected to be white, but it is light grey.
  In (23,4), the ground is expected to be white, but it is light grey.
  In (23,6), the ground is expected to be light grey, but it is white.
  In (23,7), the ground is expected to be light grey, but it is white.
  In (23,13), the ground is expected to be light grey, but it is white.
  In (23,14), the ground is expected to be light grey, but it is white.
  In (23,20), the ground is expected to be light grey, but it is white.
  In (23,21), the ground is expected to be light grey, but it is white.
  In (23,27), the ground is expected to be light grey, but it is white.
  In (23,28), the ground is expected to be light grey, but it is white.
  In (23,34), the ground is expected to be light grey, but it is white.
  In (23,35), the ground is expected to be light grey, but it is white.
  In (23,38), the ground is expected to be white, but it is light grey.
  In (23,40), the ground is expected to be white, but it is light grey.
  In (23,41), the ground is expected to be light grey, but it is white.
  In (23,43), the ground is expected to be white, but it is light grey.
  In (23,45), the ground is expected to be white, but it is light grey.
  In (23,47), the ground is expected to be white, but it is light grey.
  In (23,49), the ground is expected to be light grey, but it is white.
  In (23,50), the ground is expected to be white, but it is light grey.
  In (23,52), the ground is expected to be white, but it is light grey.
  In (23,53), the ground is expected to be white, but it is light grey.
  In (23,56), the ground is expected to be light grey, but it is white.
  In (23,57), the ground is expected to be white, but it is light grey.
  In (23,58), the ground is expected to be white, but it is light grey.
  In (23,60), the ground is expected to be white, but it is light grey.
  In (24,3), the ground is expected to be white, but it is light grey.
  In (24,5), the ground is expected to be light grey, but it is white.
  In (24,8), the ground is expected to be light grey, but it is white.
  In (24,12), the ground is expected to be light grey, but it is white.
  In (24,15), the ground is expected to be light grey, but it is white.
  In (24,19), the ground is expected to be light grey, but it is white.
  In (24,22), the ground is expected to be light grey, but it is white.
  In (24,26), the ground is expected to be light grey, but it is white.
  In (24,29), the ground is expected to be light grey, but it is white.
  In (24,33), the ground is expected to be light grey, but it is white.
  In (24,36), the ground is expected to be light grey, but it is white.
  In (24,39), the ground is expected to be white, but it is light grey.
  In (24,40), the ground is expected to be light grey, but it is white.
  In (24,41), the ground is expected to be white, but it is light grey.
  In (24,43), the ground is expected to be light grey, but it is white.
  In (24,44), the ground is expected to be white, but it is light grey.
