  In (0,2), the ground is expected to be light grey, but it is white.
  In (3,29), the ground is expected to be light grey, but it is white.
  In (3,30), the ground is expected to be white, but it is light grey.
  In (3,33), the ground is expected to be light grey, but it is white.
  In (3,36), the ground is expected to be light grey, but it is white.
  In (3,42), the ground is expected to be white, but it is light grey.
  In (3,43), the ground is expected to be light grey, but it is white.
  In (3,47), the ground is expected to be light grey, but it is white.
  In (3,50), the ground is expected to be light grey, but it is white.
  In (3,54), the ground is expected to be light grey, but it is white.
  In (3,57), the ground is expected to be light grey, but it is white.
  In (3,58), the ground is expected to be white, but it is light grey.
  In (3,60), the ground is expected to be white, but it is light grey.
  In (3,61), the ground is expected to be light grey, but it is white.
  In (3,62), the ground is expected to be white, but it is light grey.
  In (4,0), the ground is expected to be light grey, but it is white.
  In (4,6), the ground is expected to be light grey, but it is white.
  In (4,7), the ground is expected to be light grey, but it is white.
  In (4,13), the ground is expected to be light grey, but it is white.
  In (4,14), the ground is expected to be light grey, but it is white.
  In (4,20), the ground is expected to be light grey, but it is white.
  In (4,21), the ground is expected to be light grey, but it is white.
  In (4,28), the ground is expected to be light grey, but it is white.
  In (4,29), the ground is expected to be white, but it is light grey.
  In (4,34), the ground is expected to be light grey, but it is white.
  In (4,35), the ground is expected to be light grey, but it is white.
  In (4,39), the ground is expected to be white, but it is light grey.
  In (4,42), the ground is expected to be light grey, but it is white.
  In (4,43), the ground is expected to be white, but it is light grey.
  In (4,48), the ground is expected to be light grey, but it is white.
  In (4,49), the ground is expected to be light grey, but it is white.
  In (4,55), the ground is expected to be light grey, but it is white.
  In (4,56), the ground is expected to be light grey, but it is white.
  In (4,59), the ground is expected to be white, but it is light grey.
  In (4,61), the ground is expected to be white, but it is light grey.
  In (4,62), the ground is expected to be light grey, but it is white.
  In (5,3), the ground is expected to be light grey, but it is white.
  In (5,10), the ground is expected to be light grey, but it is white.
  In (5,17), the ground is expected to be light grey, but it is white.
  In (5,24), the ground is expected to be light grey, but it is white.
  In (5,27), the ground is expected to be white, but it is light grey.
  In (5,29), the ground is expected to be white, but it is light grey.
  In (5,31), the ground is expected to be light grey, but it is white.
  In (5,38), the ground is expected to be light grey, but it is white.
  In (5,40), the ground is expected to be white, but it is light grey.
  In (5,42), the ground is expected to be white, but it is light grey.
  In (5,45), the ground is expected to be light grey, but it is white.
  In (5,52), the ground is expected to be light grey, but it is white.
  In (5,61), the ground is expected to be white, but it is light grey.
  In (6,2), the ground is expected to be light grey, but it is white.
  In (6,4), the ground is expected to be light grey, but it is white.
  In (6,9), the ground is expected to be light grey, but it is white.
  In (6,11), the ground is expected to be light grey, but it is white.
  In (6,16), the ground is expected to be light grey, but it is white.
  In (6,18), the ground is expected to be light grey, but it is white.
  In (6,23), the ground is expected to be light grey, but it is white.
  In (6,25), the ground is expected to be light grey, but it is white.
  In (6,26), the ground is expected to be white, but it is light grey.
  In (6,28), the ground is expected to be white, but it is light grey.
  In (6,32), the ground is expected to be light grey, but it is white.
  In (6,37), the ground is expected to be light grey, but it is white.
  In (6,41), the ground is expected to be white, but it is light grey.
  In (6,43), the ground is expected to be white, but it is light grey.
  In (6,44), the ground is expected to be light grey, but it is white.
  In (6,46), the ground is expected to be light grey, but it is white.
  In (6,51), the ground is expected to be light grey, but it is white.
  In (6,53), the ground is expected to be light grey, but it is white.
  In (6,62), the ground is expected to be white, but it is light grey.
  In (7,2), the ground is expected to be light grey, but it is white.
  In (7,4), the ground is expected to be light grey, but it is white.
  In (7,9), the ground is expected to be light grey, but it is white.
  In (7,11), the ground is expected to be light grey, but it is white.
  In (7,16), the ground is expected to be light grey, but it is white.
  In (7,18), the ground is expected to be light grey, but it is white.
  In (7,23), the ground is expected to be light grey, but it is white.
  In (7,25), the ground is expected to be light grey, but it is white.
  In (7,27), the ground is expected to be white, but it is light grey.
  In (7,29), the ground is expected to be white, but it is light grey.
  In (7,30), the ground is expected to be light grey, but it is white.
  In (7,32), the ground is expected to be light grey, but it is white.
  In (7,37), the ground is expected to be light grey, but it is white.
  In (7,39), the ground is expected to be light grey, but it is white.
  In (7,40), the ground is expected to be white, but it is light grey.
  In (7,42), the ground is expected to be white, but it is light grey.
  In (7,44), the ground is expected to be light grey, but it is white.
  In (7,46), the ground is expected to be light grey, but it is white.
  In (7,51), the ground is expected to be light grey, but it is white.
  In (7,53), the ground is expected to be light grey, but it is white.
  In (7,58), the ground is expected to be light grey, but it is white.
  In (7,59), the ground is expected to be white, but it is light grey.
  In (7,60), the ground is expected to be light grey, but it is white.
  In (7,61), the ground is expected to be white, but it is light grey.
  In (8,3), the ground is expected to be light grey, but it is white.
  In (8,10), the ground is expected to be light grey, but it is white.
  In (8,17), the ground is expected to be light grey, but it is white.
  In (8,24), the ground is expected to be light grey, but it is white.
  In (8,26), the ground is expected to be white, but it is light grey.
  In (8,28), the ground is expected to be white, but it is light grey.
  In (8,30), the ground is expected to be white, but it is light grey.
  In (8,31), the ground is expected to be light grey, but it is white.
  In (8,38), the ground is expected to be light grey, but it is white.
  In (8,40), the ground is expected to be white, but it is light grey.
  In (8,42), the ground is expected to be white, but it is light grey.
  In (8,45), the ground is expected to be light grey, but it is white.
  In (8,52), the ground is expected to be light grey, but it is white.
  In (8,58), the ground is expected to be white, but it is light grey.
  In (8,59), the ground is expected to be light grey, but it is white.
  In (8,60), the ground is expected to be white, but it is light grey.
  In (8,62), the ground is expected to be white, but it is light grey.
  In (9,0), the ground is expected to be light grey, but it is white.
  In (9,6), the ground is expected to be light grey, but it is white.
  In (9,7), the ground is expected to be light grey, but it is white.
  In (9,13), the ground is expected to be light grey, but it is white.
  In (9,14), the ground is expected to be light grey, but it is white.
  In (9,20), the ground is expected to be light grey, but it is white.
  In (9,21), the ground is expected to be light grey, but it is white.
  In (9,28), the ground is expected to be light grey, but it is white.
  In (9,29), the ground is expected to be white, but it is light grey.
  In (9,34), the ground is expected to be light grey, but it is white.
  In (9,35), the ground is expected to be light grey, but it is white.
  In (9,39), the ground is expected to be white, but it is light grey.
  In (9,42), the ground is expected to be light grey, but it is white.
  In (9,43), the ground is expected to be white, but it is light grey.
  In (9,48), the ground is expected to be light grey, but it is white.
  In (9,49), the ground is expected to be light grey, but it is white.
  In (9,55), the ground is expected to be light grey, but it is white.
  In (9,56), the ground is expected to be light grey, but it is white.
  In (9,59), the ground is expected to be white, but it is light grey.
  In (9,61), the ground is expected to be white, but it is light grey.
  In (9,62), the ground is expected to be light grey, but it is white.
  In (10,1), the ground is expected to be light grey, but it is white.
  In (10,5), the ground is expected to be light grey, but it is white.
  In (10,8), the ground is expected to be light grey, but it is white.
  In (10,12), the ground is expected to be light grey, but it is white.
  In (10,15), the ground is expected to be light grey, but it is white.
  In (10,19), the ground is expected to be light grey, but it is white.
  In (10,22), the ground is expected to be light grey, but it is white.
  In (10,26), the ground is expected to be light grey, but it is white.
  In (10,27), the ground is expected to be white, but it is light grey.
  In (10,33), the ground is expected to be light grey, but it is white.
  In (10,36), the ground is expected to be light grey, but it is white.
  In (10,42), the ground is expected to be white, but it is light grey.
  In (10,43), the ground is expected to be light grey, but it is white.
  In (10,47), the ground is expected to be light grey, but it is white.
  In (10,50), the ground is expected to be light grey, but it is white.
  In (10,54), the ground is expected to be light grey, but it is white.
  In (10,57), the ground is expected to be light grey, but it is white.
  In (10,59), the ground is expected to be white, but it is light grey.
  In (11,0), the ground is expected to be light grey, but it is white.
  In (11,6), the ground is expected to be light grey, but it is white.
  In (11,7), the ground is expected to be light grey, but it is white.
  In (11,13), the ground is expected to be light grey, but it is white.
  In (11,14), the ground is expected to be light grey, but it is white.
  In (11,20), the ground is expected to be light grey, but it is white.
  In (11,21), the ground is expected to be light grey, but it is white.
  In (11,26), the ground is expected to be white, but it is light grey.
  In (11,27), the ground is expected to be light grey, but it is white.
  In (11,30), the ground is expected to be white, but it is light grey.
  In (11,34), the ground is expected to be light grey, but it is white.
  In (11,35), the ground is expected to be light grey, but it is white.
  In (11,39), the ground is expected to be white, but it is light grey.
  In (11,42), the ground is expected to be light grey, but it is white.
  In (11,43), the ground is expected to be white, but it is light grey.
  In (11,48), the ground is expected to be light grey, but it is white.
  In (11,49), the ground is expected to be light grey, but it is white.
  In (11,55), the ground is expected to be light grey, but it is white.
  In (11,56), the ground is expected to be light grey, but it is white.
  In (11,58), the ground is expected to be white, but it is light grey.
  In (11,60), the ground is expected to be white, but it is light grey.
  In (12,3), the ground is expected to be light grey, but it is white.
  In (12,10), the ground is expected to be light grey, but it is white.
  In (12,17), the ground is expected to be light grey, but it is white.
  In (12,24), the ground is expected to be light grey, but it is white.
  In (12,27), the ground is expected to be white, but it is light grey.
  In (12,29), the ground is expected to be white, but it is light grey.
  In (12,31), the ground is expected to be light grey, but it is white.
  In (12,38), the ground is expected to be light grey, but it is white.
  In (12,40), the ground is expected to be white, but it is light grey.
  In (12,42), the ground is expected to be white, but it is light grey.
  In (12,45), the ground is expected to be light grey, but it is white.
  In (12,52), the ground is expected to be light grey, but it is white.
  In (12,61), the ground is expected to be white, but it is light grey.
  In (13,2), the ground is expected to be light grey, but it is white.
  In (13,4), the ground is expected to be light grey, but it is white.
  In (13,9), the ground is expected to be light grey, but it is white.
  In (13,11), the ground is expected to be light grey, but it is white.
  In (13,16), the ground is expected to be light grey, but it is white.
  In (13,18), the ground is expected to be light grey, but it is white.
  In (13,23), the ground is expected to be light grey, but it is white.
  In (13,25), the ground is expected to be light grey, but it is white.
  In (13,26), the ground is expected to be white, but it is light grey.
  In (13,28), the ground is expected to be white, but it is light grey.
  In (13,32), the ground is expected to be light grey, but it is white.
  In (13,35), the ground is expected to be white, but it is light grey.
  In (13,39), the ground is expected to be light grey, but it is white.
  In (13,44), the ground is expected to be light grey, but it is white.
  In (13,46), the ground is expected to be light grey, but it is white.
  In (13,51), the ground is expected to be light grey, but it is white.
  In (13,53), the ground is expected to be light grey, but it is white.
  In (13,62), the ground is expected to be white, but it is light grey.
  In (14,2), the ground is expected to be light grey, but it is white.
  In (14,4), the ground is expected to be light grey, but it is white.
  In (14,9), the ground is expected to be light grey, but it is white.
  In (14,11), the ground is expected to be light grey, but it is white.
  In (14,16), the ground is expected to be light grey, but it is white.
  In (14,18), the ground is expected to be light grey, but it is white.
  In (14,23), the ground is expected to be light grey, but it is white.
  In (14,25), the ground is expected to be light grey, but it is white.
  In (14,27), the ground is expected to be white, but it is light grey.
  In (14,29), the ground is expected to be white, but it is light grey.
  In (14,30), the ground is expected to be light grey, but it is white.
  In (14,32), the ground is expected to be light grey, but it is white.
  In (14,34), the ground is expected to be white, but it is light grey.
  In (14,36), the ground is expected to be white, but it is light grey.
  In (14,37), the ground is expected to be light grey, but it is white.
  In (14,38), the ground is expected to be white, but it is light grey.
  In (14,39), the ground is expected to be light grey, but it is white.
  In (14,44), the ground is expected to be light grey, but it is white.
  In (14,46), the ground is expected to be light grey, but it is white.
  In (14,51), the ground is expected to be light grey, but it is white.
  In (14,53), the ground is expected to be light grey, but it is white.
  In (14,58), the ground is expected to be light grey, but it is white.
  In (14,59), the ground is expected to be white, but it is light grey.
  In (14,60), the ground is expected to be light grey, but it is white.
  In (14,61), the ground is expected to be white, but it is light grey.
  In (15,3), the ground is expected to be light grey, but it is white.
  In (15,10), the ground is expected to be light grey, but it is white.
  In (15,17), the ground is expected to be light grey, but it is white.
  In (15,22), the ground is expected to be white, but it is light grey.
  In (15,31), the ground is expected to be light grey, but it is white.
  In (15,35), the ground is expected to be white, but it is light grey.
  In (15,37), the ground is expected to be white, but it is light grey.
  In (15,38), the ground is expected to be light grey, but it is white.
  In (15,45), the ground is expected to be light grey, but it is white.
  In (15,52), the ground is expected to be light grey, but it is white.
  In (15,54), the ground is expected to be white, but it is light grey.
  In (15,56), the ground is expected to be white, but it is light grey.
  In (15,59), the ground is expected to be light grey, but it is white.
  In (16,0), the ground is expected to be light grey, but it is white.
  In (16,6), the ground is expected to be light grey, but it is white.
  In (16,7), the ground is expected to be light grey, but it is white.
  In (16,13), the ground is expected to be light grey, but it is white.
  In (16,14), the ground is expected to be light grey, but it is white.
  In (16,20), the ground is expected to be light grey, but it is white.
  In (16,23), the ground is expected to be white, but it is light grey.
  In (16,25), the ground is expected to be white, but it is light grey.
  In (16,27), the ground is expected to be light grey, but it is white.
  In (16,28), the ground is expected to be light grey, but it is white.
  In (16,35), the ground is expected to be light grey, but it is white.
  In (16,36), the ground is expected to be white, but it is light grey.
  In (16,38), the ground is expected to be white, but it is light grey.
  In (16,41), the ground is expected to be light grey, but it is white.
  In (16,42), the ground is expected to be light grey, but it is white.
  In (16,48), the ground is expected to be light grey, but it is white.
  In (16,49), the ground is expected to be light grey, but it is white.
  In (16,53), the ground is expected to be white, but it is light grey.
  In (16,56), the ground is expected to be light grey, but it is white.
  In (16,57), the ground is expected to be white, but it is light grey.
  In (16,62), the ground is expected to be light grey, but it is white.
  In (17,1), the ground is expected to be light grey, but it is white.
  In (17,5), the ground is expected to be light grey, but it is white.
  In (17,8), the ground is expected to be light grey, but it is white.
  In (17,12), the ground is expected to be light grey, but it is white.
  In (17,15), the ground is expected to be light grey, but it is white.
  In (17,19), the ground is expected to be light grey, but it is white.
  In (17,24), the ground is expected to be white, but it is light grey.
  In (17,26), the ground is expected to be light grey, but it is white.
  In (17,29), the ground is expected to be light grey, but it is white.
  In (17,33), the ground is expected to be light grey, but it is white.
  In (17,35), the ground is expected to be white, but it is light grey.
  In (17,36), the ground is expected to be light grey, but it is white.
  In (17,37), the ground is expected to be white, but it is light grey.
  In (17,40), the ground is expected to be light grey, but it is white.
  In (17,43), the ground is expected to be light grey, but it is white.
  In (17,47), the ground is expected to be light grey, but it is white.
  In (17,50), the ground is expected to be light grey, but it is white.
  In (17,56), the ground is expected to be white, but it is light grey.
  In (17,57), the ground is expected to be light grey, but it is white.
  In (17,61), the ground is expected to be light grey, but it is white.
  In (18,0), the ground is expected to be light grey, but it is white.
  In (18,6), the ground is expected to be light grey, but it is white.
  In (18,7), the ground is expected to be light grey, but it is white.
  In (18,13), the ground is expected to be light grey, but it is white.
  In (18,14), the ground is expected to be light grey, but it is white.
  In (18,20), the ground is expected to be light grey, but it is white.
  In (18,23), the ground is expected to be white, but it is light grey.
  In (18,25), the ground is expected to be white, but it is light grey.
  In (18,27), the ground is expected to be light grey, but it is white.
  In (18,28), the ground is expected to be light grey, but it is white.
  In (18,34), the ground is expected to be light grey, but it is white.
  In (18,37), the ground is expected to be white, but it is light grey.
  In (18,41), the ground is expected to be light grey, but it is white.
  In (18,42), the ground is expected to be light grey, but it is white.
  In (18,48), the ground is expected to be light grey, but it is white.
  In (18,49), the ground is expected to be light grey, but it is white.
  In (18,53), the ground is expected to be white, but it is light grey.
  In (18,56), the ground is expected to be light grey, but it is white.
  In (18,57), the ground is expected to be white, but it is light grey.
  In (18,62), the ground is expected to be light grey, but it is white.
  In (19,3), the ground is expected to be light grey, but it is white.
  In (19,10), the ground is expected to be light grey, but it is white.
  In (19,17), the ground is expected to be light grey, but it is white.
  In (19,22), the ground is expected to be white, but it is light grey.
  In (19,31), the ground is expected to be light grey, but it is white.
  In (19,34), the ground is expected to be white, but it is light grey.
  In (19,36), the ground is expected to be white, but it is light grey.
  In (19,45), the ground is expected to be light grey, but it is white.
  In (19,52), the ground is expected to be light grey, but it is white.
  In (19,54), the ground is expected to be white, but it is light grey.
  In (19,56), the ground is expected to be white, but it is light grey.
  In (19,59), the ground is expected to be light grey, but it is white.
  In (20,2), the ground is expected to be light grey, but it is white.
  In (20,4), the ground is expected to be light grey, but it is white.
  In (20,9), the ground is expected to be light grey, but it is white.
  In (20,11), the ground is expected to be light grey, but it is white.
  In (20,16), the ground is expected to be light grey, but it is white.
  In (20,18), the ground is expected to be light grey, but it is white.
  In (20,22), the ground is expected to be white, but it is light grey.
  In (20,23), the ground is expected to be light grey, but it is white.
  In (20,24), the ground is expected to be white, but it is light grey.
  In (20,25), the ground is expected to be light grey, but it is white.
  In (20,30), the ground is expected to be light grey, but it is white.
  In (20,32), the ground is expected to be light grey, but it is white.
  In (20,35), the ground is expected to be white, but it is light grey.
  In (20,39), the ground is expected to be light grey, but it is white.
  In (20,44), the ground is expected to be light grey, but it is white.
  In (20,46), the ground is expected to be light grey, but it is white.
  In (20,51), the ground is expected to be light grey, but it is white.
  In (20,53), the ground is expected to be light grey, but it is white.
  In (20,54), the ground is expected to be white, but it is light grey.
  In (20,56), the ground is expected to be white, but it is light grey.
  In (20,58), the ground is expected to be light grey, but it is white.
  In (20,60), the ground is expected to be light grey, but it is white.
  In (21,2), the ground is expected to be light grey, but it is white.
  In (21,4), the ground is expected to be light grey, but it is white.
  In (21,9), the ground is expected to be light grey, but it is white.
  In (21,11), the ground is expected to be light grey, but it is white.
  In (21,16), the ground is expected to be light grey, but it is white.
  In (21,18), the ground is expected to be light grey, but it is white.
  In (21,21), the ground is expected to be white, but it is light grey.
  In (21,30), the ground is expected to be light grey, but it is white.
  In (21,32), the ground is expected to be light grey, but it is white.
  In (21,34), the ground is expected to be white, but it is light grey.
  In (21,36), the ground is expected to be white, but it is light grey.
  In (21,37), the ground is expected to be light grey, but it is white.
  In (21,38), the ground is expected to be white, but it is light grey.
  In (21,39), the ground is expected to be light grey, but it is white.
  In (21,44), the ground is expected to be light grey, but it is white.
  In (21,46), the ground is expected to be light grey, but it is white.
  In (21,51), the ground is expected to be light grey, but it is white.
  In (21,55), the ground is expected to be white, but it is light grey.
  In (21,57), the ground is expected to be white, but it is light grey.
  In (21,58), the ground is expected to be light grey, but it is white.
  In (21,60), the ground is expected to be light grey, but it is white.
  In (22,3), the ground is expected to be light grey, but it is white.
  In (22,10), the ground is expected to be light grey, but it is white.
  In (22,17), the ground is expected to be light grey, but it is white.
  In (22,22), the ground is expected to be white, but it is light grey.
  In (22,31), the ground is expected to be light grey, but it is white.
  In (22,35), the ground is expected to be white, but it is light grey.
  In (22,37), the ground is expected to be white, but it is light grey.
  In (22,38), the ground is expected to be light grey, but it is white.
  In (22,45), the ground is expected to be light grey, but it is white.
  In (22,52), the ground is expected to be light grey, but it is white.
  In (22,54), the ground is expected to be white, but it is light grey.
  In (22,56), the ground is expected to be white, but it is light grey.
  In (22,59), the ground is expected to be light grey, but it is white.
  In (23,0), the ground is expected to be light grey, but it is white.
  In (23,6), the ground is expected to be light grey, but it is white.
  In (23,7), the ground is expected to be light grey, but it is white.
  In (23,13), the ground is expected to be light grey, but it is white.
  In (23,14), the ground is expected to be light grey, but it is white.
  In (23,20), the ground is expected to be light grey, but it is white.
  In (23,23), the ground is expected to be white, but it is light grey.
  In (23,25), the ground is expected to be white, but it is light grey.
  In (23,27), the ground is expected to be light grey, but it is white.
  In (23,28), the ground is expected to be light grey, but it is white.
  In (23,34), the ground is expected to be light grey, but it is white.
  In (23,37), the ground is expected to be white, but it is light grey.
  In (23,41), the ground is expected to be light grey, but it is white.
  In (23,42), the ground is expected to be light grey, but it is white.
  In (23,48), the ground is expected to be light grey, but it is white.
  In (23,49), the ground is expected to be light grey, but it is white.
  In (23,53), the ground is expected to be white, but it is light grey.
  In (23,56), the ground is expected to be light grey, but it is white.
  In (23,57), the ground is expected to be white, but it is light grey.
  In (23,62), the ground is expected to be light grey, but it is white.
  In (24,1), the ground is expected to be light grey, but it is white.
  In (24,5), the ground is expected to be light grey, but it is white.
  In (24,8), the ground is expected to be light grey, but it is white.
  In (24,12), the ground is expected to be light grey, but it is white.
  In (24,15), the ground is expected to be light grey, but it is white.
  In (24,19), the ground is expected to be light grey, but it is white.
  In (24,24), the ground is expected to be white, but it is light grey.
  In (24,26), the ground is expected to be light grey, but it is white.
  In (24,29), the ground is expected to be light grey, but it is white.
  In (24,33), the ground is expected to be light grey, but it is white.
  In (24,34), the ground is expected to be white, but it is light grey.
  In (24,38), the ground is expected to be white, but it is light grey.
  In (24,40), the ground is expected to be light grey, but it is white.
  In (24,43), the ground is expected to be light grey, but it is white.
  In (24,47), the ground is expected to be light grey, but it is white.
  In (24,50), the ground is expected to be light grey, but it is white.
  In (24,56), the ground is expected to be white, but it is light grey.
  In (24,57), the ground is expected to be light grey, but it is white.
  In (24,61), the ground is expected to be light grey, but it is white.
  In (25,0), the ground is expected to be light grey, but it is white.
  In (25,6), the ground is expected to be light grey, but it is white.
  In (25,7), the ground is expected to be light grey, but it is white.
  In (25,13), the ground is expected to be light grey, but it is white.
  In (25,14), the ground is expected to be light grey, but it is white.
  In (25,20), the ground is expected to be light grey, but it is white.
  In (25,21), the ground is expected to be light grey, but it is white.
  In (25,22), the ground is expected to be white, but it is light grey.
  In (25,24), the ground is expected to be white, but it is light grey.
  In (25,27), the ground is expected to be light grey, but it is white.
  In (25,28), the ground is expected to be light grey, but it is white.
  In (25,34), the ground is expected to be light grey, but it is white.
  In (25,37), the ground is expected to be white, but it is light grey.
  In (25,41), the ground is expected to be light grey, but it is white.
  In (25,42), the ground is expected to be light grey, but it is white.
  In (25,48), the ground is expected to be light grey, but it is white.
  In (25,49), the ground is expected to be light grey, but it is white.
  In (25,54), the ground is expected to be white, but it is light grey.
  In (25,55), the ground is expected to be light grey, but it is white.
  In (25,62), the ground is expected to be light grey, but it is white.
  In (26,3), the ground is expected to be light grey, but it is white.
  In (26,10), the ground is expected to be light grey, but it is white.
  In (26,17), the ground is expected to be light grey, but it is white.
  In (26,21), the ground is expected to be white, but it is light grey.
  In (26,23), the ground is expected to be white, but it is light grey.
  In (26,24), the ground is expected to be light grey, but it is white.
  In (26,25), the ground is expected to be white, but it is light grey.
  In (26,31), the ground is expected to be light grey, but it is white.
  In (26,34), the ground is expected to be white, but it is light grey.
  In (26,36), the ground is expected to be white, but it is light grey.
  In (26,45), the ground is expected to be light grey, but it is white.
  In (26,52), the ground is expected to be light grey, but it is white.
  In (26,53), the ground is expected to be white, but it is light grey.
  In (26,55), the ground is expected to be white, but it is light grey.
  In (26,57), the ground is expected to be white, but it is light grey.
  In (26,59), the ground is expected to be light grey, but it is white.
  In (27,2), the ground is expected to be light grey, but it is white.
  In (27,4), the ground is expected to be light grey, but it is white.
  In (27,9), the ground is expected to be light grey, but it is white.
  In (27,11), the ground is expected to be light grey, but it is white.
  In (27,16), the ground is expected to be light grey, but it is white.
  In (27,18), the ground is expected to be light grey, but it is white.
  In (27,22), the ground is expected to be white, but it is light grey.
  In (27,23), the ground is expected to be light grey, but it is white.
  In (27,24), the ground is expected to be white, but it is light grey.
  In (27,25), the ground is expected to be light grey, but it is white.
  In (27,30), the ground is expected to be light grey, but it is white.
  In (27,32), the ground is expected to be light grey, but it is white.
  In (27,35), the ground is expected to be white, but it is light grey.
  In (27,39), the ground is expected to be light grey, but it is white.
  In (27,44), the ground is expected to be light grey, but it is white.
  In (27,46), the ground is expected to be light grey, but it is white.
  In (27,51), the ground is expected to be light grey, but it is white.
  In (27,53), the ground is expected to be light grey, but it is white.
  In (27,54), the ground is expected to be white, but it is light grey.
  In (27,56), the ground is expected to be white, but it is light grey.
  In (27,58), the ground is expected to be light grey, but it is white.
  In (27,60), the ground is expected to be light grey, but it is white.
  In (28,2), the ground is expected to be light grey, but it is white.
  In (28,4), the ground is expected to be light grey, but it is white.
  In (28,9), the ground is expected to be light grey, but it is white.
  In (28,11), the ground is expected to be light grey, but it is white.
  In (28,16), the ground is expected to be light grey, but it is white.
  In (28,18), the ground is expected to be light grey, but it is white.
  In (28,21), the ground is expected to be white, but it is light grey.
  In (28,30), the ground is expected to be light grey, but it is white.
  In (28,32), the ground is expected to be light grey, but it is white.
  In (28,37), the ground is expected to be light grey, but it is white.
  In (28,39), the ground is expected to be light grey, but it is white.
  In (28,44), the ground is expected to be light grey, but it is white.
  In (28,46), the ground is expected to be light grey, but it is white.
  In (28,51), the ground is expected to be light grey, but it is white.
  In (28,55), the ground is expected to be white, but it is light grey.
  In (28,57), the ground is expected to be white, but it is light grey.
  In (28,58), the ground is expected to be light grey, but it is white.
  In (28,60), the ground is expected to be light grey, but it is white.
  In (29,3), the ground is expected to be light grey, but it is white.
  In (29,10), the ground is expected to be light grey, but it is white.
  In (29,17), the ground is expected to be light grey, but it is white.
  In (29,22), the ground is expected to be white, but it is light grey.
  In (29,31), the ground is expected to be light grey, but it is white.
  In (29,34), the ground is expected to be white, but it is light grey.
  In (29,36), the ground is expected to be white, but it is light grey.
  In (29,38), the ground is expected to be light grey, but it is white.
