The amount of steps is wrong: 83420 is not 0
  In (3,49), the ground is expected to be yellow, but it is white.
  In (12,37), the ground is expected to be yellow, but it is white.
  In (12,38), the ground is expected to be yellow, but it is white.
  In (12,39), the ground is expected to be yellow, but it is white.
  In (12,41), the ground is expected to be yellow, but it is white.
  In (12,44), the ground is expected to be yellow, but it is white.
  In (12,45), the ground is expected to be yellow, but it is white.
  In (12,46), the ground is expected to be yellow, but it is white.
  In (12,47), the ground is expected to be yellow, but it is white.
  In (12,49), the ground is expected to be yellow, but it is white.
  In (12,50), the ground is expected to be yellow, but it is white.
  In (12,51), the ground is expected to be yellow, but it is white.
  In (12,52), the ground is expected to be yellow, but it is white.
  In (12,53), the ground is expected to be yellow, but it is white.
  In (12,54), the ground is expected to be yellow, but it is white.
  In (12,55), the ground is expected to be yellow, but it is white.
  In (12,57), the ground is expected to be yellow, but it is white.
  In (12,58), the ground is expected to be yellow, but it is white.
  In (12,59), the ground is expected to be yellow, but it is white.
  In (13,34), the ground is expected to be yellow, but it is white.
  In (13,35), the ground is expected to be yellow, but it is white.
  In (13,37), the ground is expected to be yellow, but it is white.
  In (13,41), the ground is expected to be yellow, but it is white.
  In (13,42), the ground is expected to be yellow, but it is white.
  In (13,43), the ground is expected to be yellow, but it is white.
  In (13,44), the ground is expected to be yellow, but it is white.
  In (13,45), the ground is expected to be yellow, but it is white.
  In (13,46), the ground is expected to be yellow, but it is white.
  In (13,47), the ground is expected to be yellow, but it is white.
  In (13,48), the ground is expected to be yellow, but it is white.
  In (13,49), the ground is expected to be yellow, but it is white.
  In (13,51), the ground is expected to be yellow, but it is white.
  In (13,55), the ground is expected to be yellow, but it is white.
  In (13,57), the ground is expected to be yellow, but it is white.
  In (13,59), the ground is expected to be yellow, but it is white.
  In (13,60), the ground is expected to be yellow, but it is white.
  In (14,33), the ground is expected to be yellow, but it is white.
  In (14,34), the ground is expected to be yellow, but it is white.
  In (14,37), the ground is expected to be yellow, but it is white.
  In (14,39), the ground is expected to be yellow, but it is white.
  In (14,41), the ground is expected to be yellow, but it is white.
  In (14,42), the ground is expected to be yellow, but it is white.
  In (14,44), the ground is expected to be yellow, but it is white.
  In (14,45), the ground is expected to be yellow, but it is white.
  In (14,47), the ground is expected to be yellow, but it is white.
  In (14,48), the ground is expected to be yellow, but it is white.
  In (14,49), the ground is expected to be yellow, but it is white.
  In (14,54), the ground is expected to be yellow, but it is white.
  In (14,55), the ground is expected to be yellow, but it is white.
  In (14,58), the ground is expected to be yellow, but it is white.
  In (14,60), the ground is expected to be yellow, but it is white.
  In (14,61), the ground is expected to be yellow, but it is white.
  In (15,32), the ground is expected to be yellow, but it is white.
  In (15,33), the ground is expected to be yellow, but it is white.
  In (15,41), the ground is expected to be yellow, but it is white.
  In (15,43), the ground is expected to be yellow, but it is white.
  In (15,44), the ground is expected to be yellow, but it is white.
  In (15,45), the ground is expected to be yellow, but it is white.
  In (15,47), the ground is expected to be yellow, but it is white.
  In (15,49), the ground is expected to be yellow, but it is white.
  In (15,50), the ground is expected to be yellow, but it is white.
  In (15,51), the ground is expected to be yellow, but it is white.
  In (15,55), the ground is expected to be yellow, but it is white.
  In (15,56), the ground is expected to be yellow, but it is white.
  In (15,58), the ground is expected to be yellow, but it is white.
  In (15,59), the ground is expected to be yellow, but it is white.
  In (15,61), the ground is expected to be yellow, but it is white.
  In (15,62), the ground is expected to be yellow, but it is white.
  In (16,29), the ground is expected to be yellow, but it is white.
  In (16,31), the ground is expected to be white, but it is yellow.
  In (16,34), the ground is expected to be white, but it is yellow.
  In (16,35), the ground is expected to be white, but it is yellow.
  In (16,36), the ground is expected to be white, but it is yellow.
  In (16,38), the ground is expected to be yellow, but it is white.
  In (16,40), the ground is expected to be yellow, but it is white.
  In (16,41), the ground is expected to be yellow, but it is white.
  In (16,42), the ground is expected to be yellow, but it is white.
  In (16,43), the ground is expected to be yellow, but it is white.
  In (16,45), the ground is expected to be yellow, but it is white.
  In (16,46), the ground is expected to be yellow, but it is white.
  In (16,47), the ground is expected to be yellow, but it is white.
  In (16,49), the ground is expected to be white, but it is yellow.
  In (16,51), the ground is expected to be white, but it is yellow.
  In (16,52), the ground is expected to be white, but it is yellow.
  In (16,53), the ground is expected to be white, but it is yellow.
  In (16,54), the ground is expected to be white, but it is red.
  In (16,55), the ground is expected to be yellow, but it is red.
  In (16,56), the ground is expected to be white, but it is yellow.
  In (16,58), the ground is expected to be white, but it is yellow.
  In (16,59), the ground is expected to be yellow, but it is white.
  In (16,60), the ground is expected to be yellow, but it is white.
  In (16,62), the ground is expected to be yellow, but it is white.
  In (17,26), the ground is expected to be white, but it is yellow.
  In (17,27), the ground is expected to be white, but it is red.
  In (17,28), the ground is expected to be white, but it is red.
  In (17,29), the ground is expected to be yellow, but it is cyan.
  In (17,30), the ground is expected to be yellow, but it is green.
  In (17,31), the ground is expected to be yellow, but it is cyan.
  In (17,32), the ground is expected to be white, but it is yellow.
  In (17,34), the ground is expected to be white, but it is cyan.
  In (17,35), the ground is expected to be white, but it is cyan.
  In (17,39), the ground is expected to be yellow, but it is white.
  In (17,41), the ground is expected to be yellow, but it is white.
  In (17,42), the ground is expected to be yellow, but it is white.
  In (17,45), the ground is expected to be yellow, but it is white.
  In (17,46), the ground is expected to be yellow, but it is white.
  In (17,48), the ground is expected to be yellow, but it is white.
  In (17,50), the ground is expected to be yellow, but it is green.
  In (17,51), the ground is expected to be white, but it is orange.
  In (17,52), the ground is expected to be yellow, but it is orange.
  In (17,53), the ground is expected to be white, but it is orange.
  In (17,54), the ground is expected to be white, but it is black.
  In (17,55), the ground is expected to be yellow, but it is black.
  In (17,56), the ground is expected to be yellow, but it is blue.
  In (17,57), the ground is expected to be white, but it is black.
  In (17,58), the ground is expected to be white, but it is cyan.
  In (17,61), the ground is expected to be yellow, but it is white.
  In (17,62), the ground is expected to be yellow, but it is white.
  In (18,22), the ground is expected to be yellow, but it is white.
  In (18,24), the ground is expected to be yellow, but it is white.
  In (18,26), the ground is expected to be white, but it is green.
  In (18,27), the ground is expected to be white, but it is orange.
  In (18,28), the ground is expected to be white, but it is green.
  In (18,29), the ground is expected to be white, but it is blue.
  In (18,30), the ground is expected to be yellow, but it is magenta.
  In (18,31), the ground is expected to be yellow, but it is blue.
  In (18,32), the ground is expected to be white, but it is cyan.
  In (18,33), the ground is expected to be yellow, but it is green.
  In (18,34), the ground is expected to be white, but it is green.
  In (18,35), the ground is expected to be yellow, but it is cyan.
  In (18,36), the ground is expected to be white, but it is yellow.
  In (18,37), the ground is expected to be white, but it is yellow.
  In (18,38), the ground is expected to be white, but it is yellow.
  In (18,41), the ground is expected to be yellow, but it is white.
  In (18,42), the ground is expected to be yellow, but it is white.
  In (18,44), the ground is expected to be yellow, but it is white.
  In (18,47), the ground is expected to be white, but it is yellow.
  In (18,48), the ground is expected to be white, but it is yellow.
  In (18,50), the ground is expected to be white, but it is green.
  In (18,51), the ground is expected to be white, but it is blue.
  In (18,52), the ground is expected to be white, but it is black.
  In (18,53), the ground is expected to be white, but it is black.
  In (18,54), the ground is expected to be white, but it is grey.
  In (18,55), the ground is expected to be yellow, but it is dark grey.
  In (18,56), the ground is expected to be white, but it is light grey.
  In (18,57), the ground is expected to be yellow, but it is pink.
  In (18,58), the ground is expected to be white, but it is green.
  In (18,59), the ground is expected to be white, but it is yellow.
  In (18,61), the ground is expected to be yellow, but it is white.
  In (19,22), the ground is expected to be yellow, but it is white.
  In (19,23), the ground is expected to be yellow, but it is white.
  In (19,24), the ground is expected to be yellow, but it is white.
  In (19,25), the ground is expected to be white, but it is cyan.
  In (19,26), the ground is expected to be white, but it is black.
  In (19,27), the ground is expected to be white, but it is blue.
  In (19,28), the ground is expected to be white, but it is black.
  In (19,29), the ground is expected to be yellow, but it is magenta.
  In (19,30), the ground is expected to be yellow, but it is blue.
  In (19,31), the ground is expected to be yellow, but it is grey.
  In (19,32), the ground is expected to be yellow, but it is java.awt.Color[r=151,g=106,b=117].
  In (19,33), the ground is expected to be yellow, but it is pink.
  In (19,34), the ground is expected to be white, but it is orange.
  In (19,35), the ground is expected to be yellow, but it is red.
  In (19,36), the ground is expected to be yellow, but it is red.
  In (19,37), the ground is expected to be white, but it is red.
  In (19,38), the ground is expected to be white, but it is red.
  In (19,39), the ground is expected to be yellow, but it is cyan.
  In (19,41), the ground is expected to be yellow, but it is white.
  In (19,42), the ground is expected to be yellow, but it is white.
  In (19,43), the ground is expected to be yellow, but it is white.
  In (19,44), the ground is expected to be yellow, but it is white.
  In (19,45), the ground is expected to be yellow, but it is white.
  In (19,46), the ground is expected to be yellow, but it is white.
  In (19,48), the ground is expected to be yellow, but it is green.
  In (19,49), the ground is expected to be white, but it is orange.
  In (19,50), the ground is expected to be white, but it is orange.
  In (19,51), the ground is expected to be white, but it is blue.
  In (19,52), the ground is expected to be white, but it is grey.
  In (19,53), the ground is expected to be white, but it is dark grey.
  In (19,54), the ground is expected to be white, but it is grey.
  In (19,55), the ground is expected to be yellow, but it is grey.
  In (19,56), the ground is expected to be white, but it is dark grey.
  In (19,57), the ground is expected to be yellow, but it is grey.
  In (19,58), the ground is expected to be white, but it is orange.
  In (19,59), the ground is expected to be white, but it is cyan.
  In (19,61), the ground is expected to be yellow, but it is white.
  In (20,22), the ground is expected to be yellow, but it is white.
  In (20,23), the ground is expected to be yellow, but it is white.
  In (20,24), the ground is expected to be yellow, but it is white.
  In (20,25), the ground is expected to be white, but it is cyan.
  In (20,26), the ground is expected to be white, but it is blue.
  In (20,27), the ground is expected to be white, but it is black.
  In (20,28), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (20,29), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (20,30), the ground is expected to be white, but it is magenta.
  In (20,31), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (20,32), the ground is expected to be yellow, but it is java.awt.Color[r=4,g=123,b=48].
  In (20,33), the ground is expected to be yellow, but it is dark grey.
  In (20,34), the ground is expected to be yellow, but it is green.
  In (20,35), the ground is expected to be yellow, but it is cyan.
  In (20,36), the ground is expected to be yellow, but it is red.
  In (20,37), the ground is expected to be yellow, but it is red.
  In (20,38), the ground is expected to be white, but it is cyan.
  In (20,39), the ground is expected to be yellow, but it is red.
  In (20,41), the ground is expected to be white, but it is yellow.
  In (20,43), the ground is expected to be white, but it is yellow.
  In (20,44), the ground is expected to be white, but it is yellow.
  In (20,46), the ground is expected to be white, but it is yellow.
  In (20,48), the ground is expected to be yellow, but it is green.
  In (20,49), the ground is expected to be white, but it is magenta.
  In (20,50), the ground is expected to be white, but it is light grey.
  In (20,51), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (20,52), the ground is expected to be yellow, but it is light grey.
  In (20,53), the ground is expected to be yellow, but it is light grey.
  In (20,54), the ground is expected to be white, but it is dark grey.
  In (20,55), the ground is expected to be white, but it is black.
  In (20,56), the ground is expected to be white, but it is black.
  In (20,57), the ground is expected to be white, but it is black.
  In (20,58), the ground is expected to be white, but it is blue.
  In (20,59), the ground is expected to be white, but it is cyan.
  In (20,61), the ground is expected to be white, but it is yellow.
  In (20,62), the ground is expected to be white, but it is yellow.
  In (20,63), the ground is expected to be white, but it is yellow.
  In (20,64), the ground is expected to be white, but it is yellow.
  In (21,14), the ground is expected to be yellow, but it is white.
  In (21,15), the ground is expected to be yellow, but it is white.
  In (21,16), the ground is expected to be yellow, but it is white.
  In (21,21), the ground is expected to be yellow, but it is white.
  In (21,22), the ground is expected to be yellow, but it is white.
  In (21,25), the ground is expected to be yellow, but it is red.
  In (21,26), the ground is expected to be yellow, but it is green.
  In (21,27), the ground is expected to be white, but it is dark grey.
  In (21,28), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (21,29), the ground is expected to be white, but it is light grey.
  In (21,30), the ground is expected to be white, but it is pink.
  In (21,31), the ground is expected to be white, but it is java.awt.Color[r=175,g=214,b=53].
  In (21,32), the ground is expected to be white, but it is light grey.
  In (21,33), the ground is expected to be yellow, but it is grey.
  In (21,34), the ground is expected to be white, but it is black.
  In (21,35), the ground is expected to be yellow, but it is green.
  In (21,36), the ground is expected to be yellow, but it is red.
  In (21,37), the ground is expected to be yellow, but it is cyan.
  In (21,38), the ground is expected to be yellow, but it is red.
  In (21,39), the ground is expected to be white, but it is yellow.
  In (21,40), the ground is expected to be yellow, but it is red.
  In (21,41), the ground is expected to be white, but it is red.
  In (21,42), the ground is expected to be yellow, but it is red.
  In (21,43), the ground is expected to be white, but it is red.
  In (21,44), the ground is expected to be yellow, but it is red.
  In (21,45), the ground is expected to be yellow, but it is red.
  In (21,46), the ground is expected to be yellow, but it is red.
  In (21,47), the ground is expected to be white, but it is red.
  In (21,48), the ground is expected to be white, but it is red.
  In (21,49), the ground is expected to be white, but it is black.
  In (21,50), the ground is expected to be white, but it is java.awt.Color[r=141,g=24,b=4].
  In (21,51), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (21,52), the ground is expected to be yellow, but it is java.awt.Color[r=3,g=52,b=202].
  In (21,53), the ground is expected to be yellow, but it is java.awt.Color[r=151,g=106,b=117].
  In (21,54), the ground is expected to be yellow, but it is pink.
  In (21,55), the ground is expected to be white, but it is black.
  In (21,56), the ground is expected to be yellow, but it is light grey.
  In (21,57), the ground is expected to be white, but it is light grey.
  In (21,58), the ground is expected to be yellow, but it is blue.
  In (21,59), the ground is expected to be yellow, but it is cyan.
  In (21,60), the ground is expected to be yellow, but it is cyan.
  In (21,61), the ground is expected to be white, but it is red.
  In (21,62), the ground is expected to be white, but it is red.
  In (21,63), the ground is expected to be white, but it is cyan.
  In (21,64), the ground is expected to be white, but it is yellow.
  In (22,13), the ground is expected to be yellow, but it is white.
  In (22,14), the ground is expected to be yellow, but it is white.
  In (22,16), the ground is expected to be yellow, but it is white.
  In (22,17), the ground is expected to be yellow, but it is white.
  In (22,18), the ground is expected to be yellow, but it is white.
  In (22,21), the ground is expected to be yellow, but it is white.
  In (22,22), the ground is expected to be yellow, but it is white.
  In (22,23), the ground is expected to be yellow, but it is white.
  In (22,24), the ground is expected to be yellow, but it is white.
  In (22,25), the ground is expected to be yellow, but it is red.
  In (22,26), the ground is expected to be yellow, but it is orange.
  In (22,27), the ground is expected to be yellow, but it is magenta.
  In (22,28), the ground is expected to be white, but it is pink.
  In (22,29), the ground is expected to be white, but it is light grey.
  In (22,30), the ground is expected to be white, but it is dark grey.
  In (22,31), the ground is expected to be white, but it is magenta.
  In (22,32), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (22,33), the ground is expected to be yellow, but it is java.awt.Color[r=141,g=24,b=4].
  In (22,34), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (22,35), the ground is expected to be yellow, but it is black.
  In (22,36), the ground is expected to be yellow, but it is green.
  In (22,37), the ground is expected to be white, but it is red.
  In (22,38), the ground is expected to be white, but it is yellow.
  In (22,39), the ground is expected to be white, but it is red.
  In (22,40), the ground is expected to be white, but it is red.
  In (22,41), the ground is expected to be white, but it is red.
  In (22,42), the ground is expected to be yellow, but it is red.
  In (22,43), the ground is expected to be yellow, but it is red.
  In (22,44), the ground is expected to be yellow, but it is red.
  In (22,45), the ground is expected to be white, but it is red.
  In (22,46), the ground is expected to be white, but it is red.
  In (22,47), the ground is expected to be yellow, but it is red.
  In (22,48), the ground is expected to be yellow, but it is cyan.
  In (22,49), the ground is expected to be white, but it is orange.
  In (22,50), the ground is expected to be yellow, but it is java.awt.Color[r=151,g=106,b=117].
  In (22,51), the ground is expected to be white, but it is java.awt.Color[r=4,g=123,b=48].
  In (22,52), the ground is expected to be white, but it is java.awt.Color[r=4,g=123,b=48].
  In (22,53), the ground is expected to be white, but it is java.awt.Color[r=127,g=99,b=41].
  In (22,54), the ground is expected to be yellow, but it is java.awt.Color[r=177,g=178,b=55].
  In (22,55), the ground is expected to be yellow, but it is java.awt.Color[r=151,g=106,b=117].
  In (22,56), the ground is expected to be white, but it is light grey.
  In (22,57), the ground is expected to be yellow, but it is dark grey.
  In (22,58), the ground is expected to be yellow, but it is blue.
  In (22,59), the ground is expected to be white, but it is black.
  In (22,60), the ground is expected to be yellow, but it is blue.
  In (22,61), the ground is expected to be yellow, but it is green.
  In (22,62), the ground is expected to be yellow, but it is green.
  In (22,63), the ground is expected to be white, but it is red.
  In (22,64), the ground is expected to be white, but it is yellow.
  In (22,67), the ground is expected to be white, but it is yellow.
  In (22,68), the ground is expected to be white, but it is yellow.
  In (22,69), the ground is expected to be white, but it is yellow.
  In (22,70), the ground is expected to be white, but it is yellow.
  In (22,73), the ground is expected to be white, but it is yellow.
  In (22,74), the ground is expected to be white, but it is yellow.
  In (22,75), the ground is expected to be white, but it is yellow.
  In (22,76), the ground is expected to be white, but it is yellow.
  In (22,77), the ground is expected to be white, but it is yellow.
  In (22,78), the ground is expected to be white, but it is yellow.
  In (22,79), the ground is expected to be white, but it is yellow.
  In (22,80), the ground is expected to be white, but it is yellow.
  In (22,81), the ground is expected to be white, but it is yellow.
  In (22,82), the ground is expected to be white, but it is yellow.
  In (23,12), the ground is expected to be yellow, but it is white.
  In (23,13), the ground is expected to be yellow, but it is white.
  In (23,15), the ground is expected to be yellow, but it is white.
  In (23,17), the ground is expected to be yellow, but it is white.
  In (23,18), the ground is expected to be yellow, but it is white.
  In (23,19), the ground is expected to be yellow, but it is white.
  In (23,20), the ground is expected to be yellow, but it is white.
  In (23,21), the ground is expected to be yellow, but it is white.
  In (23,22), the ground is expected to be yellow, but it is white.
  In (23,23), the ground is expected to be yellow, but it is white.
  In (23,25), the ground is expected to be yellow, but it is red.
  In (23,26), the ground is expected to be white, but it is orange.
  In (23,27), the ground is expected to be yellow, but it is magenta.
  In (23,28), the ground is expected to be yellow, but it is pink.
  In (23,29), the ground is expected to be white, but it is light grey.
  In (23,30), the ground is expected to be white, but it is light grey.
  In (23,31), the ground is expected to be white, but it is pink.
  In (23,32), the ground is expected to be white, but it is java.awt.Color[r=206,g=113,b=207].
  In (23,33), the ground is expected to be yellow, but it is java.awt.Color[r=141,g=24,b=4].
  In (23,34), the ground is expected to be yellow, but it is dark grey.
  In (23,35), the ground is expected to be yellow, but it is dark grey.
  In (23,36), the ground is expected to be white, but it is black.
  In (23,37), the ground is expected to be white, but it is green.
  In (23,38), the ground is expected to be white, but it is orange.
  In (23,39), the ground is expected to be white, but it is orange.
  In (23,40), the ground is expected to be yellow, but it is red.
  In (23,41), the ground is expected to be white, but it is yellow.
  In (23,42), the ground is expected to be white, but it is green.
  In (23,43), the ground is expected to be white, but it is green.
  In (23,44), the ground is expected to be yellow, but it is green.
  In (23,45), the ground is expected to be yellow, but it is green.
  In (23,46), the ground is expected to be yellow, but it is cyan.
  In (23,47), the ground is expected to be yellow, but it is red.
  In (23,48), the ground is expected to be yellow, but it is cyan.
  In (23,49), the ground is expected to be white, but it is orange.
  In (23,50), the ground is expected to be yellow, but it is magenta.
  In (23,51), the ground is expected to be yellow, but it is java.awt.Color[r=175,g=214,b=53].
  In (23,52), the ground is expected to be yellow, but it is red.
  In (23,53), the ground is expected to be yellow, but it is orange.
  In (23,54), the ground is expected to be yellow, but it is white.
  In (23,55), the ground is expected to be yellow, but it is java.awt.Color[r=185,g=45,b=224].
  In (23,56), the ground is expected to be yellow, but it is light grey.
  In (23,57), the ground is expected to be yellow, but it is orange.
  In (23,58), the ground is expected to be yellow, but it is green.
  In (23,59), the ground is expected to be yellow, but it is magenta.
  In (23,60), the ground is expected to be yellow, but it is java.awt.Color[r=175,g=214,b=53].
  In (23,61), the ground is expected to be yellow, but it is pink.
  In (23,62), the ground is expected to be yellow, but it is orange.
  In (23,63), the ground is expected to be yellow, but it is cyan.
  In (23,64), the ground is expected to be yellow, but it is red.
  In (23,65), the ground is expected to be yellow, but it is white.
  In (23,67), the ground is expected to be white, but it is yellow.
  In (23,68), the ground is expected to be white, but it is cyan.
  In (23,69), the ground is expected to be white, but it is cyan.
  In (23,70), the ground is expected to be white, but it is yellow.
  In (23,73), the ground is expected to be white, but it is yellow.
  In (23,74), the ground is expected to be white, but it is cyan.
  In (23,75), the ground is expected to be white, but it is red.
  In (23,76), the ground is expected to be white, but it is red.
  In (23,77), the ground is expected to be white, but it is red.
  In (23,78), the ground is expected to be white, but it is red.
  In (23,79), the ground is expected to be white, but it is red.
  In (23,80), the ground is expected to be white, but it is red.
  In (23,81), the ground is expected to be white, but it is cyan.
  In (23,82), the ground is expected to be white, but it is yellow.
  In (24,11), the ground is expected to be yellow, but it is white.
  In (24,12), the ground is expected to be yellow, but it is white.
  In (24,14), the ground is expected to be yellow, but it is white.
  In (24,15), the ground is expected to be yellow, but it is white.
  In (24,20), the ground is expected to be yellow, but it is white.
  In (24,22), the ground is expected to be yellow, but it is white.
  In (24,23), the ground is expected to be yellow, but it is white.
  In (24,25), the ground is expected to be white, but it is red.
  In (24,26), the ground is expected to be white, but it is green.
  In (24,27), the ground is expected to be yellow, but it is grey.
  In (24,28), the ground is expected to be white, but it is dark grey.
  In (24,29), the ground is expected to be white, but it is magenta.
  In (24,30), the ground is expected to be white, but it is pink.
  In (24,31), the ground is expected to be white, but it is java.awt.Color[r=129,g=86,b=167].
  In (24,32), the ground is expected to be white, but it is java.awt.Color[r=4,g=123,b=48].
  In (24,33), the ground is expected to be white, but it is grey.
  In (24,34), the ground is expected to be white, but it is grey.
  In (24,35), the ground is expected to be white, but it is dark grey.
  In (24,36), the ground is expected to be yellow, but it is java.awt.Color[r=3,g=52,b=202].
  In (24,37), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (24,38), the ground is expected to be white, but it is java.awt.Color[r=3,g=52,b=202].
  In (24,39), the ground is expected to be yellow, but it is dark grey.
  In (24,40), the ground is expected to be yellow, but it is black.
  In (24,41), the ground is expected to be white, but it is blue.
  In (24,42), the ground is expected to be yellow, but it is orange.
  In (24,43), the ground is expected to be yellow, but it is orange.
  In (24,44), the ground is expected to be white, but it is orange.
  In (24,45), the ground is expected to be white, but it is orange.
  In (24,46), the ground is expected to be yellow, but it is blue.
  In (24,47), the ground is expected to be yellow, but it is cyan.
  In (24,48), the ground is expected to be white, but it is yellow.
  In (24,49), the ground is expected to be white, but it is blue.
  In (24,50), the ground is expected to be white, but it is black.
  In (24,51), the ground is expected to be white, but it is java.awt.Color[r=151,g=106,b=117].
  In (24,53), the ground is expected to be white, but it is yellow.
  In (24,54), the ground is expected to be white, but it is yellow.
  In (24,55), the ground is expected to be white, but it is java.awt.Color[r=185,g=45,b=224].
  In (24,56), the ground is expected to be yellow, but it is java.awt.Color[r=65,g=79,b=180].
  In (24,57), the ground is expected to be yellow, but it is java.awt.Color[r=4,g=123,b=48].
  In (24,58), the ground is expected to be white, but it is grey.
  In (24,59), the ground is expected to be yellow, but it is pink.
  In (24,60), the ground is expected to be yellow, but it is java.awt.Color[r=175,g=214,b=53].
